source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]
PXD066281-sample-1	Homo sapiens	colon	colon carcinoma	not available	cell line	HCT116	CVCL_0291	HCT 116	European ancestry	48Y	male	adult	1	PXD066281-run-E240302_09_KL_HCT116_WT_PulldownID_nonXL_rep1_inj1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA modified;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	1	1	E240302_09_KL_HCT116_WT_PulldownID_nonXL_rep1_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116
PXD066281-sample-1	Homo sapiens	colon	colon carcinoma	not available	cell line	HCT116	CVCL_0291	HCT 116	European ancestry	48Y	male	adult	1	PXD066281-run-E240302_10_KL_HCT116_WT_PulldownID_nonXL_rep1_inj2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA modified;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	1	2	E240302_10_KL_HCT116_WT_PulldownID_nonXL_rep1_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116
PXD066281-sample-1	Homo sapiens	colon	colon carcinoma	not available	cell line	HCT116	CVCL_0291	HCT 116	European ancestry	48Y	male	adult	1	PXD066281-run-E240302_11_KL_HCT116_WT_PulldownID_nonXL_rep1_inj3	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA modified;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	1	3	E240302_11_KL_HCT116_WT_PulldownID_nonXL_rep1_inj3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116
PXD066281-sample-2	Homo sapiens	colon	colon carcinoma	not available	cell line	HCT116	CVCL_0291	HCT 116	European ancestry	48Y	male	adult	2	PXD066281-run-E240302_13_KL_HCT116_WT_PulldownID_nonXL_rep2_inj1_20240305053952	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA modified;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	1	1	E240302_13_KL_HCT116_WT_PulldownID_nonXL_rep2_inj1_20240305053952.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116
PXD066281-sample-2	Homo sapiens	colon	colon carcinoma	not available	cell line	HCT116	CVCL_0291	HCT 116	European ancestry	48Y	male	adult	2	PXD066281-run-E240302_15_KL_HCT116_WT_PulldownID_nonXL_rep2_inj3_20240305030548	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA modified;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	1	2	E240302_15_KL_HCT116_WT_PulldownID_nonXL_rep2_inj3_20240305030548.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116
PXD066281-sample-2	Homo sapiens	colon	colon carcinoma	not available	cell line	HCT116	CVCL_0291	HCT 116	European ancestry	48Y	male	adult	2	PXD066281-run-E240302_15_KL_HCT116_WT_PulldownID_nonXL_rep2_inj3_20240305081411	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA modified;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	1	3	E240302_15_KL_HCT116_WT_PulldownID_nonXL_rep2_inj3_20240305081411.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116
PXD066281-sample-3	Homo sapiens	colon	colon carcinoma	not available	cell line	HCT116 RPN1-biotin knock-in	not available	not available	European ancestry	48Y	male	adult	1	PXD066281-run-E240301_09_KL_hRpn1-biotin_PulldownID_nonXL_rep1_inj1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA modified;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	1	1	E240301_09_KL_hRpn1-biotin_PulldownID_nonXL_rep1_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116 RPN1-biotin knock-in
PXD066281-sample-3	Homo sapiens	colon	colon carcinoma	not available	cell line	HCT116 RPN1-biotin knock-in	not available	not available	European ancestry	48Y	male	adult	1	PXD066281-run-E240301_10_KL_hRpn1-biotin_PulldownID_nonXL_rep1_inj2	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA modified;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	1	2	E240301_10_KL_hRpn1-biotin_PulldownID_nonXL_rep1_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116 RPN1-biotin knock-in
PXD066281-sample-3	Homo sapiens	colon	colon carcinoma	not available	cell line	HCT116 RPN1-biotin knock-in	not available	not available	European ancestry	48Y	male	adult	1	PXD066281-run-E240301_11_KL_hRpn1-biotin_PulldownID_nonXL_rep1_inj3	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA modified;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	1	3	E240301_11_KL_hRpn1-biotin_PulldownID_nonXL_rep1_inj3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116 RPN1-biotin knock-in
PXD066281-sample-4	Homo sapiens	colon	colon carcinoma	not available	cell line	HCT116 RPN1-biotin knock-in	not available	not available	European ancestry	48Y	male	adult	2	PXD066281-run-E240301_13_KL_hRpn1-biotin_PulldownID_nonXL_rep2_inj1	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Pyro-carbamidomethyl;AC=UNIMOD:26;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA modified;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	1	1	E240301_13_KL_hRpn1-biotin_PulldownID_nonXL_rep2_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116 RPN1-biotin knock-in
