source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20221123_MaOt_0215_HSlJiYwdoGN9_001_WT_sample_01	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221123_MaOt_0215_HSlJiYwdoGN9_001_WT_sample_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221123_MaOt_0215_HSlJiYwdoGN9_001_WT_sample_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221123_MaOt_0215_HSlJiYwdoGN9_002_WT_sample_02	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221123_MaOt_0215_HSlJiYwdoGN9_002_WT_sample_02	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221123_MaOt_0215_HSlJiYwdoGN9_002_WT_sample_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221123_MaOt_0215_HSlJiYwdoGN9_003_WT_sample_03	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221123_MaOt_0215_HSlJiYwdoGN9_003_WT_sample_03	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221123_MaOt_0215_HSlJiYwdoGN9_003_WT_sample_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221123_MaOt_0215_HSlJiYwdoGN9_004_WT_sample_04	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221123_MaOt_0215_HSlJiYwdoGN9_004_WT_sample_04	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221123_MaOt_0215_HSlJiYwdoGN9_004_WT_sample_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221123_MaOt_0215_HSlJiYwdoGN9_005_WT_sample_05	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221123_MaOt_0215_HSlJiYwdoGN9_005_WT_sample_05	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221123_MaOt_0215_HSlJiYwdoGN9_005_WT_sample_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221123_MaOt_0215_HSlJiYwdoGN9_006_PHB1_2_sample_06	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221123_MaOt_0215_HSlJiYwdoGN9_006_PHB1_2_sample_06	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221123_MaOt_0215_HSlJiYwdoGN9_006_PHB1_2_sample_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221123_MaOt_0215_HSlJiYwdoGN9_007_PHB1_2_sample_07	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221123_MaOt_0215_HSlJiYwdoGN9_007_PHB1_2_sample_07	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221123_MaOt_0215_HSlJiYwdoGN9_007_PHB1_2_sample_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221123_MaOt_0215_HSlJiYwdoGN9_008_PHB1_2_sample_08	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221123_MaOt_0215_HSlJiYwdoGN9_008_PHB1_2_sample_08	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221123_MaOt_0215_HSlJiYwdoGN9_008_PHB1_2_sample_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221123_MaOt_0215_HSlJiYwdoGN9_009_PHB1_2_sample_09	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221123_MaOt_0215_HSlJiYwdoGN9_009_PHB1_2_sample_09	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221123_MaOt_0215_HSlJiYwdoGN9_009_PHB1_2_sample_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20221123_MaOt_0215_HSlJiYwdoGN9_010_PHB1_2_sample_10	Saccharomyces cerevisiae	cell suspension culture	not available	1	20221123_MaOt_0215_HSlJiYwdoGN9_010_PHB1_2_sample_10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20221123_MaOt_0215_HSlJiYwdoGN9_010_PHB1_2_sample_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
