source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PJS20141121_pY20-17	homo sapiens	Pancreatic cell line	not applicable	pancreatic cancer	17	PJS20141121_pY20-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	PJS20141121_pY20-17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD003198/PJS20141121_pY20-17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreatic cell line
20100421_MP2_n2_Orbi	homo sapiens	Pancreatic cell line	not applicable	pancreatic cancer	1	20100421_MP2_n2_Orbi	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	20100421_MP2_n2_Orbi.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD003198/20100421_MP2_n2_Orbi.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreatic cell line
PJS20141115_pY100-17	homo sapiens	Pancreatic cell line	not applicable	pancreatic cancer	17	PJS20141115_pY100-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	PJS20141115_pY100-17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD003198/PJS20141115_pY100-17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreatic cell line
PJS20141215_pY20-30	homo sapiens	Pancreatic cell line	not applicable	pancreatic cancer	30	PJS20141215_pY20-30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	PJS20141215_pY20-30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD003198/PJS20141215_pY20-30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreatic cell line
PJS20141115_pY100-2	homo sapiens	Pancreatic cell line	not applicable	pancreatic cancer	2	PJS20141115_pY100-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	PJS20141115_pY100-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD003198/PJS20141115_pY100-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreatic cell line
Emily_100206_Capan1_n1_CID15_19	homo sapiens	Pancreatic cell line	not applicable	pancreatic cancer	19	Emily_100206_Capan1_n1_CID15_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Emily_100206_Capan1_n1_CID15_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD003198/Emily_100206_Capan1_n1_CID15_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreatic cell line
PJS20141115_pY100-13	homo sapiens	Pancreatic cell line	not applicable	pancreatic cancer	13	PJS20141115_pY100-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	PJS20141115_pY100-13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD003198/PJS20141115_pY100-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreatic cell line
PJS20141208_pY100-34	homo sapiens	Pancreatic cell line	not applicable	pancreatic cancer	34	PJS20141208_pY100-34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	PJS20141208_pY100-34.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD003198/PJS20141208_pY100-34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreatic cell line
Emily_100124_HPAFII_n2_CID15_7	homo sapiens	Pancreatic cell line	not applicable	pancreatic cancer	7	Emily_100124_HPAFII_n2_CID15_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Emily_100124_HPAFII_n2_CID15_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD003198/Emily_100124_HPAFII_n2_CID15_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreatic cell line
Emily_100124_PANC0813_n2_CID15_12	homo sapiens	Pancreatic cell line	not applicable	pancreatic cancer	12	Emily_100124_PANC0813_n2_CID15_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Emily_100124_PANC0813_n2_CID15_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD003198/Emily_100124_PANC0813_n2_CID15_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreatic cell line
Emily_100124_Hs700T_n2_CID15_18	homo sapiens	Pancreatic cell line	not applicable	pancreatic cancer	18	Emily_100124_Hs700T_n2_CID15_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Emily_100124_Hs700T_n2_CID15_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD003198/Emily_100124_Hs700T_n2_CID15_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreatic cell line
