source name	characteristics[organism]	characteristics[strain or breed]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[enrichment process]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[phenotype]
Mock	Schizosaccharomyces pombe	972h-	not applicable	not applicable	not applicable	1	enrichment of protein-protein complexes	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEX03_VR_250306_AS_1902_Mock_022.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1;MM=42.01060	40.0 ppm	20.0 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	untagged control
pta1_WT	Schizosaccharomyces pombe	972h-	not applicable	not applicable	not applicable	1	enrichment of protein-protein complexes	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEX03_VR_250306_AS_2220_Pta1_WT_025.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1;MM=42.01060	40.0 ppm	20.0 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Symplekin wild type
pta1_mutant	Schizosaccharomyces pombe	972h-	not applicable	not applicable	not applicable	1	enrichment of protein-protein complexes	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEX03_VR_250306_AS_2216_Pta1_Mutant_028.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;AC=UNIMOD:4;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;AC=UNIMOD:35;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1;MM=42.01060	40.0 ppm	20.0 ppm	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Symplekin DPR-AAA mutant
