source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
PXD052143-Sample-1	Mus musculus	not available	duchenne muscular dystrophy	1	200706_Angus_muscle_Heart_SRF_103_R01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	1	1	200706_Angus_muscle_Heart_SRF_103_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0	duchenne muscular dystrophy
PXD052143-Sample-2	Mus musculus	not available	duchenne muscular dystrophy	1	200706_Angus_muscle_Heart_SRF_103_R02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	1	1	200706_Angus_muscle_Heart_SRF_103_R02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0	duchenne muscular dystrophy
PXD052143-Sample-3	Mus musculus	not available	duchenne muscular dystrophy	1	200706_Angus_muscle_Heart_SRF_103_R03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	1	1	200706_Angus_muscle_Heart_SRF_103_R03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0	duchenne muscular dystrophy
PXD052143-Sample-4	Mus musculus	not available	duchenne muscular dystrophy	1	200706_Angus_muscle_Heart_SRF_121_R01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	1	1	200706_Angus_muscle_Heart_SRF_121_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0	duchenne muscular dystrophy
PXD052143-Sample-5	Mus musculus	not available	duchenne muscular dystrophy	1	200706_Angus_muscle_Heart_SRF_121_R02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	1	1	200706_Angus_muscle_Heart_SRF_121_R02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0	duchenne muscular dystrophy
PXD052143-Sample-6	Mus musculus	not available	duchenne muscular dystrophy	1	200706_Angus_muscle_Heart_SRF_121_R03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	1	1	200706_Angus_muscle_Heart_SRF_121_R03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0	duchenne muscular dystrophy
PXD052143-Sample-7	Mus musculus	not available	duchenne muscular dystrophy	1	200706_Angus_muscle_Heart_SRF_140_R01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	1	1	200706_Angus_muscle_Heart_SRF_140_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0	duchenne muscular dystrophy
PXD052143-Sample-8	Mus musculus	not available	duchenne muscular dystrophy	1	200706_Angus_muscle_Heart_SRF_140_R02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	1	1	200706_Angus_muscle_Heart_SRF_140_R02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0	duchenne muscular dystrophy
PXD052143-Sample-9	Mus musculus	not available	duchenne muscular dystrophy	1	200706_Angus_muscle_Heart_SRF_140_R03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	1	1	200706_Angus_muscle_Heart_SRF_140_R03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0	duchenne muscular dystrophy
PXD052143-Sample-10	Mus musculus	not available	duchenne muscular dystrophy	1	200706_Angus_muscle_Heart_SRF_142_R01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	1	1	200706_Angus_muscle_Heart_SRF_142_R01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0	duchenne muscular dystrophy
