source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
00855_C01_P007337_S00_T00_R2	Homo sapiens	Epithelial cell	not applicable	not available	1	00855_C01_P007337_S00_T00_R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	00855_C01_P007337_S00_T00_R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001060/00855_C01_P007337_S00_T00_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
00855_B01_P007336_S00_T00_R2	Homo sapiens	Epithelial cell	not applicable	not available	1	00855_B01_P007336_S00_T00_R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	00855_B01_P007336_S00_T00_R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001060/00855_B01_P007336_S00_T00_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
00776_A02_P006039_I00_Z00_R1	Homo sapiens	Epithelial cell	not applicable	not available	1	00776_A02_P006039_I00_Z00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	00776_A02_P006039_I00_Z00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001060/00776_A02_P006039_I00_Z00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
00791_H01_P006397_S00_N08_R1	Homo sapiens	Epithelial cell	not applicable	not available	1	00791_H01_P006397_S00_N08_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	00791_H01_P006397_S00_N08_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001060/00791_H01_P006397_S00_N08_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
0077_D01_P006160_Z00_N00_R1	Homo sapiens	Epithelial cell	not applicable	not available	1	0077_D01_P006160_Z00_N00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	0077_D01_P006160_Z00_N00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001060/0077_D01_P006160_Z00_N00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
0077_A01_P006160_Z00_N00_R1	Homo sapiens	Epithelial cell	not applicable	not available	1	0077_A01_P006160_Z00_N00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	0077_A01_P006160_Z00_N00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001060/0077_A01_P006160_Z00_N00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
00730_A12_P005652_S00_T09_R1	Homo sapiens	Epithelial cell	not applicable	not available	1	00730_A12_P005652_S00_T09_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	00730_A12_P005652_S00_T09_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001060/00730_A12_P005652_S00_T09_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
0077_E02_P006160_Z00_N00_R1	Homo sapiens	Epithelial cell	not applicable	not available	1	0077_E02_P006160_Z00_N00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	0077_E02_P006160_Z00_N00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001060/0077_E02_P006160_Z00_N00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
00766_E06_P006039_S00_I00_R1	Homo sapiens	Epithelial cell	not applicable	not available	1	00766_E06_P006039_S00_I00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	00766_E06_P006039_S00_I00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001060/00766_E06_P006039_S00_I00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
0077_G03_P006160_Z00_N00_R1	Homo sapiens	Epithelial cell	not applicable	not available	1	0077_G03_P006160_Z00_N00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	0077_G03_P006160_Z00_N00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001060/0077_G03_P006160_Z00_N00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
