source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Obc01980	Mus musculus	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	Obc01980	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Obc01980.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000406/Obc01980.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Obc01969	Mus musculus	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	Obc01969	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Obc01969.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000406/Obc01969.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
obc02476	Mus musculus	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	obc02476	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	obc02476.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000406/obc02476.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Obc02149	Mus musculus	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	Obc02149	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Obc02149.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000406/Obc02149.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
obc02485	Mus musculus	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	obc02485	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	obc02485.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000406/obc02485.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
obc02475	Mus musculus	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	obc02475	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	obc02475.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000406/obc02475.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Obc02150	Mus musculus	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	Obc02150	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Obc02150.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000406/Obc02150.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Obc02136	Mus musculus	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	Obc02136	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Obc02136.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000406/Obc02136.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Obc01974	Mus musculus	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	Obc01974	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Obc01974.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000406/Obc01974.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Obc02140	Mus musculus	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	Obc02140	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Obc02140.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000406/Obc02140.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Obc02155	Mus musculus	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	Obc02155	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Obc02155.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000406/Obc02155.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Obc02160	Mus musculus	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	Obc02160	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Obc02160.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000406/Obc02160.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Obc01973	Mus musculus	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	Obc01973	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Obc01973.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD000406/Obc01973.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
