source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[enrichment process]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[compound]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[compound]	factor value[genotype]	factor value[treatment]
DIA_parental_1	Homo sapiens	kidney	not available	1	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	wild type	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_1	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	wild type	untreated
DIA_parental_2	Homo sapiens	kidney	not available	2	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	wild type	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_2	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	wild type	untreated
DIA_parental_3	Homo sapiens	kidney	not available	3	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	wild type	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_3	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	wild type	untreated
DIA_parental_MG132_1	Homo sapiens	kidney	not available	1	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	wild type	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_4	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	wild type	Proteasome Inhibitor MG-132
DIA_parental_MG132_2	Homo sapiens	kidney	not available	2	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	wild type	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_5	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	wild type	Proteasome Inhibitor MG-132
DIA_parental_MG132_3	Homo sapiens	kidney	not available	3	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	wild type	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_6	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	wild type	Proteasome Inhibitor MG-132
DIA_MAEA_KO_cl8_1	Homo sapiens	kidney	not available	1	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	MAEA-/- clone 8	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_7	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	MAEA-/- clone 8	untreated
DIA_MAEA_KO_cl8_2	Homo sapiens	kidney	not available	2	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	MAEA-/- clone 8	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_8	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	MAEA-/- clone 8	untreated
DIA_MAEA_KO_cl8_3	Homo sapiens	kidney	not available	3	normal	cell line	untreated	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	MAEA-/- clone 8	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_9	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	MAEA-/- clone 8	untreated
DIA_MAEA_KO_cl8_MG132_1	Homo sapiens	kidney	not available	1	normal	cell line	Proteasome Inhibitor MG-132	enrichment of ubiquitinated proteins	not available	not available	female	fetal stage	Flp-In-T-REx-293	CVCL_U427	Flp-In-T-REx-293	not applicable	MAEA-/- clone 8	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_10	proteomic profiling by mass spectrometry	1	20210421_EXPL1_OzKa_SA_Annette_HEK_TUBE_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	not available	not available	not available	not applicable	MAEA-/- clone 8	Proteasome Inhibitor MG-132
