source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[material type]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[detection batch]
TMTpro 16plex set b1	Homo sapiens	lung	lung adenocarcinoma	tissue	1	not available	not available	not available	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=TMTpro;TA=K;MT=Fixed;AC=UNIMOD:2016	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=HCD;AC=MS:1000422	10 ppm	0.02 Da	1	1	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	b1
TMTpro 16plex set b1	Homo sapiens	lung	lung adenocarcinoma	tissue	1	not available	not available	not available	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=TMTpro;TA=K;MT=Fixed;AC=UNIMOD:2016	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=HCD;AC=MS:1000422	10 ppm	0.02 Da	10	1	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	b1
TMTpro 16plex set b1	Homo sapiens	lung	lung adenocarcinoma	tissue	1	not available	not available	not available	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=TMTpro;TA=K;MT=Fixed;AC=UNIMOD:2016	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=HCD;AC=MS:1000422	10 ppm	0.02 Da	11	1	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	b1
TMTpro 16plex set b1	Homo sapiens	lung	lung adenocarcinoma	tissue	1	not available	not available	not available	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=TMTpro;TA=K;MT=Fixed;AC=UNIMOD:2016	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=HCD;AC=MS:1000422	10 ppm	0.02 Da	12	1	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	b1
TMTpro 16plex set b1	Homo sapiens	lung	lung adenocarcinoma	tissue	1	not available	not available	not available	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=TMTpro;TA=K;MT=Fixed;AC=UNIMOD:2016	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=HCD;AC=MS:1000422	10 ppm	0.02 Da	13	1	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	b1
TMTpro 16plex set b1	Homo sapiens	lung	lung adenocarcinoma	tissue	1	not available	not available	not available	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=TMTpro;TA=K;MT=Fixed;AC=UNIMOD:2016	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=HCD;AC=MS:1000422	10 ppm	0.02 Da	14	1	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	b1
TMTpro 16plex set b1	Homo sapiens	lung	lung adenocarcinoma	tissue	1	not available	not available	not available	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=TMTpro;TA=K;MT=Fixed;AC=UNIMOD:2016	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=HCD;AC=MS:1000422	10 ppm	0.02 Da	15	1	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	b1
TMTpro 16plex set b1	Homo sapiens	lung	lung adenocarcinoma	tissue	1	not available	not available	not available	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=TMTpro;TA=K;MT=Fixed;AC=UNIMOD:2016	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=HCD;AC=MS:1000422	10 ppm	0.02 Da	16	1	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	b1
TMTpro 16plex set b1	Homo sapiens	lung	lung adenocarcinoma	tissue	1	not available	not available	not available	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=TMTpro;TA=K;MT=Fixed;AC=UNIMOD:2016	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=HCD;AC=MS:1000422	10 ppm	0.02 Da	17	1	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	b1
TMTpro 16plex set b1	Homo sapiens	lung	lung adenocarcinoma	tissue	1	not available	not available	not available	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	NT=TMTpro;TA=K;MT=Fixed;AC=UNIMOD:2016	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=HCD;AC=MS:1000422	10 ppm	0.02 Da	18	1	CAA20220620yexf_wosp00002_TMT16plex_60min_b1_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	b1
