source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
130419_VemRest_sa_06	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	6	130419_VemRest_sa_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130419_VemRest_sa_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/130419_VemRest_sa_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
130419_VemRest_sa_11	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	11	130419_VemRest_sa_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130419_VemRest_sa_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/130419_VemRest_sa_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
Sample01	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Sample01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Sample01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/Sample01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
Sample03	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Sample03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Sample03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/Sample03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
130419_VemRest_sa_07	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	7	130419_VemRest_sa_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130419_VemRest_sa_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/130419_VemRest_sa_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
Sample06	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Sample06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Sample06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/Sample06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
130419_VemRest_sa_04	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	4	130419_VemRest_sa_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130419_VemRest_sa_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/130419_VemRest_sa_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
130419_VemRest_sa_12	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	12	130419_VemRest_sa_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130419_VemRest_sa_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/130419_VemRest_sa_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
Sample04	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	Sample04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Sample04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/Sample04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
130419_VemRest_sa_01	homo sapiens	serum	not applicable	not available	enrichment of phosphorylated protein	1	130419_VemRest_sa_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.05 Da	0.05 Da	strong anion-exchange chromatography (sax)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130419_VemRest_sa_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002079/130419_VemRest_sa_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	serum
