source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[project name]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[microbiome source]	characteristics[sample storage]	characteristics[host organism]	characteristics[host subject id]	characteristics[host body site]	characteristics[perturbation]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[reduction reagent]	comment[label]	comment[modification parameters]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[lc batch]	comment[acquisition date]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[perturbation]
P74_no_substrate	P74_no_substrate	human gut metagenome	feces	Gut_microbial_communities_enriched_with_quaternary_amines	feces	Cincinnati	gut microbiome	-80C	Homo sapiens	subject_74	feces	none	1	OSU_NoSubstrate_P74_KB_08_QE1_9May18_Oak_18-03-10	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	label free sample	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	NT=orbitrap;AC=MS:1000484	Oak_2018	2018-05-09	1	OSU_NoSubstrate_P74_KB_08_QE1_9May18_Oak_18-03-10.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	none
P74_no_substrate	P74_no_substrate	human gut metagenome	feces	Gut_microbial_communities_enriched_with_quaternary_amines	feces	Cincinnati	gut microbiome	-80C	Homo sapiens	subject_74	feces	none	1	OSU_NoSubstrate_P74_KB_08_QE2_9May18_Oak_18-03-10	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	label free sample	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	NT=orbitrap;AC=MS:1000484	Oak_2018	2018-05-09	1	OSU_NoSubstrate_P74_KB_08_QE2_9May18_Oak_18-03-10.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	none
P74_no_substrate	P74_no_substrate	human gut metagenome	feces	Gut_microbial_communities_enriched_with_quaternary_amines	feces	Cincinnati	gut microbiome	-80C	Homo sapiens	subject_74	feces	none	1	OSU_NoSubstrate_P74_KB_08_QE_03Apr19_Arwen-19-01-13	proteomic profiling by mass spectrometry	3	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	label free sample	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	NT=orbitrap;AC=MS:1000484	Arwen_2019	2019-04-03	1	OSU_NoSubstrate_P74_KB_08_QE_03Apr19_Arwen-19-01-13.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	none
P74_no_substrate	P74_no_substrate	human gut metagenome	feces	Gut_microbial_communities_enriched_with_quaternary_amines	feces	Cincinnati	gut microbiome	-80C	Homo sapiens	subject_74	feces	none	1	OSU_NoSubstrate_P74_KB_08_QE_Run2_05Apr19_Arwen-19-01-13	proteomic profiling by mass spectrometry	4	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	label free sample	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	NT=orbitrap;AC=MS:1000484	Arwen_2019	2019-04-05	1	OSU_NoSubstrate_P74_KB_08_QE_Run2_05Apr19_Arwen-19-01-13.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	none
P74_glycine_betaine	P74_glycine_betaine	human gut metagenome	feces	Gut_microbial_communities_enriched_with_quaternary_amines	feces	Cincinnati	gut microbiome	-80C	Homo sapiens	subject_74	feces	glycine betaine	1	OSU_GB_P74_KB_07_QE1_9May18_Oak_18-03-10	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	label free sample	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	NT=orbitrap;AC=MS:1000484	Oak_2018	2018-05-09	1	OSU_GB_P74_KB_07_QE1_9May18_Oak_18-03-10.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	glycine betaine
P74_glycine_betaine	P74_glycine_betaine	human gut metagenome	feces	Gut_microbial_communities_enriched_with_quaternary_amines	feces	Cincinnati	gut microbiome	-80C	Homo sapiens	subject_74	feces	glycine betaine	1	OSU_GB_P74_KB_07_QE2_9May18_Oak_18-03-10	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	label free sample	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	NT=orbitrap;AC=MS:1000484	Oak_2018	2018-05-09	1	OSU_GB_P74_KB_07_QE2_9May18_Oak_18-03-10.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	glycine betaine
P74_glycine_betaine	P74_glycine_betaine	human gut metagenome	feces	Gut_microbial_communities_enriched_with_quaternary_amines	feces	Cincinnati	gut microbiome	-80C	Homo sapiens	subject_74	feces	glycine betaine	1	OSU_GB_P74_KB_07_QE_03Apr19_Arwen-19-01-13	proteomic profiling by mass spectrometry	3	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	label free sample	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	NT=orbitrap;AC=MS:1000484	Arwen_2019	2019-04-03	1	OSU_GB_P74_KB_07_QE_03Apr19_Arwen-19-01-13.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	glycine betaine
P74_glycine_betaine	P74_glycine_betaine	human gut metagenome	feces	Gut_microbial_communities_enriched_with_quaternary_amines	feces	Cincinnati	gut microbiome	-80C	Homo sapiens	subject_74	feces	glycine betaine	1	OSU_GB_P74_KB_07_QE_Run2_05Apr19_Arwen-19-01-13	proteomic profiling by mass spectrometry	4	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	label free sample	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	NT=orbitrap;AC=MS:1000484	Arwen_2019	2019-04-05	1	OSU_GB_P74_KB_07_QE_Run2_05Apr19_Arwen-19-01-13.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	glycine betaine
P74_carnitine	P74_carnitine	human gut metagenome	feces	Gut_microbial_communities_enriched_with_quaternary_amines	feces	Cincinnati	gut microbiome	-80C	Homo sapiens	subject_74	feces	carnitine	1	OSU_Carnitine_P74_KB_06_QE1_9May18_Oak_18-03-10	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	label free sample	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	NT=orbitrap;AC=MS:1000484	Oak_2018	2018-05-09	1	OSU_Carnitine_P74_KB_06_QE1_9May18_Oak_18-03-10.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	carnitine
P74_carnitine	P74_carnitine	human gut metagenome	feces	Gut_microbial_communities_enriched_with_quaternary_amines	feces	Cincinnati	gut microbiome	-80C	Homo sapiens	subject_74	feces	carnitine	1	OSU_Carnitine_P74_KB_06_QE2_9May18_Oak_18-03-10	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	label free sample	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20 ppm	NT=orbitrap;AC=MS:1000484	Oak_2018	2018-05-09	1	OSU_Carnitine_P74_KB_06_QE2_9May18_Oak_18-03-10.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	carnitine
