source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20210514_C24903_036_S298104_TurboID-EV_light_Rep3_Control	Homo sapiens	Not available	not available	not available	not available	1	20210514_C24903_036_S298104_TurboID-EV_light_Rep3_Control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20210514_C24903_036_S298104_TurboID-EV_light_Rep3_Control.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
20210514_C24903_022_S298098_TurboID-RPA2_dark_Rep3_Group_2	Homo sapiens	Not available	not available	not available	not available	1	20210514_C24903_022_S298098_TurboID-RPA2_dark_Rep3_Group_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20210514_C24903_022_S298098_TurboID-RPA2_dark_Rep3_Group_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
20210514_C24903_008_S298092_TurboID-RPA2_light_Rep3_Group_1	Homo sapiens	Not available	not available	not available	not available	1	20210514_C24903_008_S298092_TurboID-RPA2_light_Rep3_Group_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20210514_C24903_008_S298092_TurboID-RPA2_light_Rep3_Group_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
20210514_C24903_018_S298096_TurboID-RPA2_dark_Rep1_Group_2	Homo sapiens	Not available	not available	not available	not available	1	20210514_C24903_018_S298096_TurboID-RPA2_dark_Rep1_Group_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20210514_C24903_018_S298096_TurboID-RPA2_dark_Rep1_Group_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
20210514_C24903_029_S298101_TurboID-RPA2_dark_Rep6_Group_2	Homo sapiens	Not available	not available	not available	not available	1	20210514_C24903_029_S298101_TurboID-RPA2_dark_Rep6_Group_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20210514_C24903_029_S298101_TurboID-RPA2_dark_Rep6_Group_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
20210514_C24903_043_S298107_TurboID-EV_light_Rep6_Control	Homo sapiens	Not available	not available	not available	not available	1	20210514_C24903_043_S298107_TurboID-EV_light_Rep6_Control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20210514_C24903_043_S298107_TurboID-EV_light_Rep6_Control.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
20210514_C24903_041_S298106_TurboID-EV_light_Rep5_Control	Homo sapiens	Not available	not available	not available	not available	1	20210514_C24903_041_S298106_TurboID-EV_light_Rep5_Control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20210514_C24903_041_S298106_TurboID-EV_light_Rep5_Control.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
20210514_C24903_006_S298091_TurboID-RPA2_light_Rep2_Group_1	Homo sapiens	Not available	not available	not available	not available	1	20210514_C24903_006_S298091_TurboID-RPA2_light_Rep2_Group_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20210514_C24903_006_S298091_TurboID-RPA2_light_Rep2_Group_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
20210514_C24903_032_S298102_TurboID-EV_light_Rep1_Control	Homo sapiens	Not available	not available	not available	not available	1	20210514_C24903_032_S298102_TurboID-EV_light_Rep1_Control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20210514_C24903_032_S298102_TurboID-EV_light_Rep1_Control.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
20210514_C24903_020_S298097_TurboID-RPA2_dark_Rep2_Group_2	Homo sapiens	Not available	not available	not available	not available	1	20210514_C24903_020_S298097_TurboID-RPA2_dark_Rep2_Group_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	20210514_C24903_020_S298097_TurboID-RPA2_dark_Rep2_Group_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
