source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
R17539_1840_WT-hTERT_S37P-hTERT_nr2_Nter_24-28-12	homo sapiens	skin	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	12	R17539_1840_WT-hTERT_S37P-hTERT_nr2_Nter_24-28-12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	R17539_1840_WT-hTERT_S37P-hTERT_nr2_Nter_24-28-12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001282/R17539_1840_WT-hTERT_S37P-hTERT_nr2_Nter_24-28-12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	skin
R17264_1836_WT_hTERT_S37P_hTERT_nr1_Nter_24-28-9	homo sapiens	skin	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	9	R17264_1836_WT_hTERT_S37P_hTERT_nr1_Nter_24-28-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	R17264_1836_WT_hTERT_S37P_hTERT_nr1_Nter_24-28-9.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001282/R17264_1836_WT_hTERT_S37P_hTERT_nr1_Nter_24-28-9.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	skin
R17528_1840_WT-hTERT_S37P-hTERT_nr2_Nter_24-28-1	homo sapiens	skin	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	R17528_1840_WT-hTERT_S37P-hTERT_nr2_Nter_24-28-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	R17528_1840_WT-hTERT_S37P-hTERT_nr2_Nter_24-28-1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001282/R17528_1840_WT-hTERT_S37P-hTERT_nr2_Nter_24-28-1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	skin
R17521_1840_WT-hTERT_S37P-hTERT_nr2_Nter_28-32-9	homo sapiens	skin	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	9	R17521_1840_WT-hTERT_S37P-hTERT_nr2_Nter_28-32-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	R17521_1840_WT-hTERT_S37P-hTERT_nr2_Nter_28-32-9.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001282/R17521_1840_WT-hTERT_S37P-hTERT_nr2_Nter_28-32-9.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	skin
R17543_1840_WT-hTERT_S37P-hTERT_nr2_Nter_20-24-1	homo sapiens	skin	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	R17543_1840_WT-hTERT_S37P-hTERT_nr2_Nter_20-24-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	R17543_1840_WT-hTERT_S37P-hTERT_nr2_Nter_20-24-1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001282/R17543_1840_WT-hTERT_S37P-hTERT_nr2_Nter_20-24-1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	skin
R17171_1834_WT_S37P_nr1_Nter_24-28-6	homo sapiens	skin	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	6	R17171_1834_WT_S37P_nr1_Nter_24-28-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	R17171_1834_WT_S37P_nr1_Nter_24-28-6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001282/R17171_1834_WT_S37P_nr1_Nter_24-28-6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	skin
R17448_1838_WT_S37P_nr2_Nter_24-28-11	homo sapiens	skin	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	11	R17448_1838_WT_S37P_nr2_Nter_24-28-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	R17448_1838_WT_S37P_nr2_Nter_24-28-11.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001282/R17448_1838_WT_S37P_nr2_Nter_24-28-11.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	skin
R17262_1836_WT_hTERT_S37P_hTERT_nr1_Nter_24-28-7	homo sapiens	skin	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	7	R17262_1836_WT_hTERT_S37P_hTERT_nr1_Nter_24-28-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	R17262_1836_WT_hTERT_S37P_hTERT_nr1_Nter_24-28-7.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001282/R17262_1836_WT_hTERT_S37P_hTERT_nr1_Nter_24-28-7.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	skin
R17187_1834_WT_S37P_nr1_Nter_20-24-7	homo sapiens	skin	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	7	R17187_1834_WT_S37P_nr1_Nter_20-24-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	R17187_1834_WT_S37P_nr1_Nter_20-24-7.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001282/R17187_1834_WT_S37P_nr1_Nter_20-24-7.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	skin
R17260_1836_WT_hTERT_S37P_hTERT_nr1_Nter_24-28-5	homo sapiens	skin	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	5	R17260_1836_WT_hTERT_S37P_hTERT_nr1_Nter_24-28-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	dithiothreitol (dtt)	acrylamide (aa)	1	1	R17260_1836_WT_hTERT_S37P_hTERT_nr1_Nter_24-28-5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD001282/R17260_1836_WT_hTERT_S37P_hTERT_nr1_Nter_24-28-5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	skin
