source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[treatment]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[sample type]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[ms min charge]	comment[acquisition date]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain or breed]	factor value[enrichment process]
PXD010157-Sample-1	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	male	dexamethasone	not available	chromatin immunoprecipitation of glucocorticoid receptor (Proteintech anti-GR 24050-1-AP)	study sample	no depletion	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_PTGR_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-11T14:29:18	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_PTGR_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	chromatin immunoprecipitation of glucocorticoid receptor (Proteintech anti-GR 24050-1-AP)
PXD010157-Sample-2	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	male	dexamethasone	not available	chromatin immunoprecipitation of glucocorticoid receptor (Proteintech anti-GR 24050-1-AP)	study sample	no depletion	2	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_PTGR_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-11T16:55:58	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_PTGR_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	chromatin immunoprecipitation of glucocorticoid receptor (Proteintech anti-GR 24050-1-AP)
PXD010157-Sample-3	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	male	dexamethasone	not available	chromatin immunoprecipitation of glucocorticoid receptor (Proteintech anti-GR 24050-1-AP)	study sample	no depletion	3	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_PTGR_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-11T19:22:30	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_PTGR_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	chromatin immunoprecipitation of glucocorticoid receptor (Proteintech anti-GR 24050-1-AP)
PXD010157-Sample-4	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	male	dexamethasone	not available	chromatin immunoprecipitation of glucocorticoid receptor (second anti-GR antibody)	study sample	no depletion	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_scGR_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-10T21:32:07	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_scGR_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	chromatin immunoprecipitation of glucocorticoid receptor (second anti-GR antibody)
PXD010157-Sample-5	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	male	dexamethasone	not available	chromatin immunoprecipitation of glucocorticoid receptor (second anti-GR antibody)	study sample	no depletion	2	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_scGR_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-10T23:58:13	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_scGR_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	chromatin immunoprecipitation of glucocorticoid receptor (second anti-GR antibody)
PXD010157-Sample-6	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	male	dexamethasone	not available	chromatin immunoprecipitation of glucocorticoid receptor (second anti-GR antibody)	study sample	no depletion	3	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_scGR_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-11T02:24:03	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_scGR_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	chromatin immunoprecipitation of glucocorticoid receptor (second anti-GR antibody)
PXD010157-Sample-7	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	male	dexamethasone	not available	chromatin immunoprecipitation of E2A (E47)	study sample	no depletion	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_E2A_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-10T04:38:49	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_E2A_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	chromatin immunoprecipitation of E2A (E47)
PXD010157-Sample-8	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	male	dexamethasone	not available	chromatin immunoprecipitation of E2A (E47)	study sample	no depletion	2	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_E2A_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-10T07:04:18	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_E2A_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	chromatin immunoprecipitation of E2A (E47)
PXD010157-Sample-9	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	male	dexamethasone	not available	chromatin immunoprecipitation of E2A (E47)	study sample	no depletion	3	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_E2A_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-10T09:29:44	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_E2A_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	chromatin immunoprecipitation of E2A (E47)
PXD010157-Sample-10	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	male	dexamethasone	not available	chromatin immunoprecipitation with rabbit IgG isotype control (Cell Signaling 2729)	negative control	no depletion	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_IgG_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	2017-08-12T07:29:42	not applicable	1	1	20170809_Qep4_MiWi_SA_COLLAB_Charlotte_wt_IgG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	C57BL/6, Tcf3 (E47) flox/flox, Alb-Cre negative	chromatin immunoprecipitation with rabbit IgG isotype control (Cell Signaling 2729)
