source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20190424_002_S184052_41_cell_HK83tele_JP2_test	20190424_002_S184052_41_cell_HK83tele_JP2_test	Homo sapiens	Cell culture	not applicable	not available	A._aphrophilus_uses_a_type_VI_secretion_system_to_modify_epithelial_cell_responses_to_highly_leukotoxic_A._actinomycetemcomitans	Cell culture	Cell culture	not available	not available	not available	not available	1	20190424_002_S184052_41_cell_HK83tele_JP2_test	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20190424_002_S184052_41_cell_HK83tele_JP2_test.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20190424_003_S184028_17_cell_HK83wt_JP2_test	20190424_003_S184028_17_cell_HK83wt_JP2_test	Homo sapiens	Cell culture	not applicable	not available	A._aphrophilus_uses_a_type_VI_secretion_system_to_modify_epithelial_cell_responses_to_highly_leukotoxic_A._actinomycetemcomitans	Cell culture	Cell culture	not available	not available	not available	not available	1	20190424_003_S184028_17_cell_HK83wt_JP2_test	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20190424_003_S184028_17_cell_HK83wt_JP2_test.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20190424_004_S184013_2_cell_test	20190424_004_S184013_2_cell_test	Homo sapiens	Cell culture	not applicable	not available	A._aphrophilus_uses_a_type_VI_secretion_system_to_modify_epithelial_cell_responses_to_highly_leukotoxic_A._actinomycetemcomitans	Cell culture	Cell culture	not available	not available	not available	not available	1	20190424_004_S184013_2_cell_test	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20190424_004_S184013_2_cell_test.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20190424_005_S184016_5_cell_test	20190424_005_S184016_5_cell_test	Homo sapiens	Cell culture	not applicable	not available	A._aphrophilus_uses_a_type_VI_secretion_system_to_modify_epithelial_cell_responses_to_highly_leukotoxic_A._actinomycetemcomitans	Cell culture	Cell culture	not available	not available	not available	not available	1	20190424_005_S184016_5_cell_test	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20190424_005_S184016_5_cell_test.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20190424_008_S184024_13_cell_HK83wt_JP2_test	20190424_008_S184024_13_cell_HK83wt_JP2_test	Homo sapiens	Cell culture	not applicable	not available	A._aphrophilus_uses_a_type_VI_secretion_system_to_modify_epithelial_cell_responses_to_highly_leukotoxic_A._actinomycetemcomitans	Cell culture	Cell culture	not available	not available	not available	not available	1	20190424_008_S184024_13_cell_HK83wt_JP2_test	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20190424_008_S184024_13_cell_HK83wt_JP2_test.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20190424_010_S184041_30_cell_HK83hcp_test	20190424_010_S184041_30_cell_HK83hcp_test	Homo sapiens	Cell culture	not applicable	not available	A._aphrophilus_uses_a_type_VI_secretion_system_to_modify_epithelial_cell_responses_to_highly_leukotoxic_A._actinomycetemcomitans	Cell culture	Cell culture	not available	not available	not available	not available	1	20190424_010_S184041_30_cell_HK83hcp_test	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20190424_010_S184041_30_cell_HK83hcp_test.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20190424_012_S184056_45_cell_HK83tele_test	20190424_012_S184056_45_cell_HK83tele_test	Homo sapiens	Cell culture	not applicable	not available	A._aphrophilus_uses_a_type_VI_secretion_system_to_modify_epithelial_cell_responses_to_highly_leukotoxic_A._actinomycetemcomitans	Cell culture	Cell culture	not available	not available	not available	not available	1	20190424_012_S184056_45_cell_HK83tele_test	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20190424_012_S184056_45_cell_HK83tele_test.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20190424_013_S184021_10_cell_HK83wt_test	20190424_013_S184021_10_cell_HK83wt_test	Homo sapiens	Cell culture	not applicable	not available	A._aphrophilus_uses_a_type_VI_secretion_system_to_modify_epithelial_cell_responses_to_highly_leukotoxic_A._actinomycetemcomitans	Cell culture	Cell culture	not available	not available	not available	not available	1	20190424_013_S184021_10_cell_HK83wt_test	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20190424_013_S184021_10_cell_HK83wt_test.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20190424_014_S184038_27_cell_HK83hcp_test	20190424_014_S184038_27_cell_HK83hcp_test	Homo sapiens	Cell culture	not applicable	not available	A._aphrophilus_uses_a_type_VI_secretion_system_to_modify_epithelial_cell_responses_to_highly_leukotoxic_A._actinomycetemcomitans	Cell culture	Cell culture	not available	not available	not available	not available	1	20190424_014_S184038_27_cell_HK83hcp_test	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20190424_014_S184038_27_cell_HK83hcp_test.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
20190424_015_S184053_42_cell_HK83tele_JP2_test	20190424_015_S184053_42_cell_HK83tele_JP2_test	Homo sapiens	Cell culture	not applicable	not available	A._aphrophilus_uses_a_type_VI_secretion_system_to_modify_epithelial_cell_responses_to_highly_leukotoxic_A._actinomycetemcomitans	Cell culture	Cell culture	not available	not available	not available	not available	1	20190424_015_S184053_42_cell_HK83tele_JP2_test	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20190424_015_S184053_42_cell_HK83tele_JP2_test.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Cell culture
