source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
PRIDE_Exp_Complete_Ac_12897.pride	Mus musculus	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_12897.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_12897.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2010/12/PRD000256/generated/PRIDE_Exp_Complete_Ac_12897.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_12901.pride	Mus musculus	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_12901.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_12901.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2010/12/PRD000256/generated/PRIDE_Exp_Complete_Ac_12901.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_12899.pride	Mus musculus	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_12899.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_12899.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2010/12/PRD000256/generated/PRIDE_Exp_Complete_Ac_12899.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_12900.pride	Mus musculus	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_12900.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_12900.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2010/12/PRD000256/generated/PRIDE_Exp_Complete_Ac_12900.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_12906.pride	Mus musculus	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_12906.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_12906.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2010/12/PRD000256/generated/PRIDE_Exp_Complete_Ac_12906.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_12908.pride	Mus musculus	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_12908.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_12908.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2010/12/PRD000256/generated/PRIDE_Exp_Complete_Ac_12908.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_12905.pride	Mus musculus	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_12905.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_12905.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2010/12/PRD000256/generated/PRIDE_Exp_Complete_Ac_12905.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_12903.pride	Mus musculus	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_12903.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_12903.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2010/12/PRD000256/generated/PRIDE_Exp_Complete_Ac_12903.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_12898.pride	Mus musculus	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_12898.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_12898.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2010/12/PRD000256/generated/PRIDE_Exp_Complete_Ac_12898.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_12904.pride	Mus musculus	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_12904.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_12904.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2010/12/PRD000256/generated/PRIDE_Exp_Complete_Ac_12904.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_12902.pride	Mus musculus	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_12902.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_12902.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2010/12/PRD000256/generated/PRIDE_Exp_Complete_Ac_12902.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PRIDE_Exp_Complete_Ac_12907.pride	Mus musculus	not available	not applicable	not available	1	PRIDE_Exp_Complete_Ac_12907.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_12907.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2010/12/PRD000256/generated/PRIDE_Exp_Complete_Ac_12907.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
