source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Floc-D125-BPER.dat	Floc-D125-BPER.dat	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D125-BPER.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D125-BPER.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D125-BPER	Floc-D125-BPER	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D125-BPER	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D125-BPER.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D125-CER.dat	Floc-D125-CER.dat	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D125-CER.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D125-CER.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D125-CER	Floc-D125-CER	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D125-CER	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D125-CER.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D140-BPER.dat	Floc-D140-BPER.dat	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D140-BPER.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D140-BPER.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D140-BPER	Floc-D140-BPER	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D140-BPER	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D140-BPER.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D140-CER.dat	Floc-D140-CER.dat	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D140-CER.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D140-CER.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D140-CER	Floc-D140-CER	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D140-CER	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D140-CER.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D65-BPER.dat	Floc-D65-BPER.dat	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D65-BPER.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D65-BPER.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Floc-D65-BPER	Floc-D65-BPER	Candidatus accumulibacter phosphatis	wastewater	not applicable	not available	Metaproteomic_analysis_of_laboratory-scale_floccular_and_granular_biofilms_enriched_with_Accumulibacter_phosphatis	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Floc-D65-BPER	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Floc-D65-BPER.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
