source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
1086_Rev_hilic_22dec11_runB_excl_13	drosophila melanogaster	fruit	not applicable	not available	antibody enrichment	13	1086_Rev_hilic_22dec11_runB_excl_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	15 ppm	15 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	1086_Rev_hilic_22dec11_runB_excl_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD002552/1086_Rev_hilic_22dec11_runB_excl_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	fruit
1081_KarenSap_hilic_8dec11_18_111228083049	drosophila melanogaster	fruit	not applicable	not available	antibody enrichment	1	1081_KarenSap_hilic_8dec11_18_111228083049	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	15 ppm	15 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	1081_KarenSap_hilic_8dec11_18_111228083049.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD002552/1081_KarenSap_hilic_8dec11_18_111228083049.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	fruit
1379_KarenSap_Rev_pool_05	drosophila melanogaster	fruit	not applicable	not available	antibody enrichment	5	1379_KarenSap_Rev_pool_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	15 ppm	15 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	1379_KarenSap_Rev_pool_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD002552/1379_KarenSap_Rev_pool_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	fruit
1379_KarenSap_Rev_pool_01	drosophila melanogaster	fruit	not applicable	not available	antibody enrichment	1	1379_KarenSap_Rev_pool_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	15 ppm	15 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	1379_KarenSap_Rev_pool_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD002552/1379_KarenSap_Rev_pool_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	fruit
1097_FW_KarenSap_hilic_27jan12_20	drosophila melanogaster	fruit	not applicable	not available	antibody enrichment	20	1097_FW_KarenSap_hilic_27jan12_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	15 ppm	15 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	1097_FW_KarenSap_hilic_27jan12_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD002552/1097_FW_KarenSap_hilic_27jan12_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	fruit
1104_KarenSap_FW_hilic_08	drosophila melanogaster	fruit	not applicable	not available	antibody enrichment	8	1104_KarenSap_FW_hilic_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	15 ppm	15 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	1104_KarenSap_FW_hilic_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD002552/1104_KarenSap_FW_hilic_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	fruit
1103_KarenSap_Rev_hilic_02	drosophila melanogaster	fruit	not applicable	not available	antibody enrichment	2	1103_KarenSap_Rev_hilic_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	15 ppm	15 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	1103_KarenSap_Rev_hilic_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD002552/1103_KarenSap_Rev_hilic_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	fruit
1086_Rev_hilic_22dec11_runB_excl_14	drosophila melanogaster	fruit	not applicable	not available	antibody enrichment	14	1086_Rev_hilic_22dec11_runB_excl_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	15 ppm	15 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	1086_Rev_hilic_22dec11_runB_excl_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD002552/1086_Rev_hilic_22dec11_runB_excl_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	fruit
1097_KarenSap_Control_hilic_3feb12_19	drosophila melanogaster	fruit	not applicable	not available	antibody enrichment	19	1097_KarenSap_Control_hilic_3feb12_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	15 ppm	15 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	1097_KarenSap_Control_hilic_3feb12_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD002552/1097_KarenSap_Control_hilic_3feb12_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	fruit
1081_KarenSap_hilic_8dec11_03_111227145857	drosophila melanogaster	fruit	not applicable	not available	antibody enrichment	1	1081_KarenSap_hilic_8dec11_03_111227145857	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	15 ppm	15 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	1081_KarenSap_hilic_8dec11_03_111227145857.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/07/PXD002552/1081_KarenSap_hilic_8dec11_03_111227145857.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	fruit
