source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Control__HOMD-EnSEMBL_Peptide_Summary.tabular	Control_HOMD-EnSEMBL_Peptide_Summary.tabular	Homo sapiens	Epithelial cell	not applicable	Oral squamous cell carcinoma	Metaproteomic_analysis_using_the_Galaxy_framework	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	Control__HOMD-EnSEMBL_Peptide_Summary.tabular	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	1	1	Control__HOMD-EnSEMBL_Peptide_Summary.tabular	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
Galaxy1-tgriffin_koore004_040511_patient4_control_CA_Fr1.RAW	Galaxy1-tgriffin_koore004_040511_patient4_control_CA_Fr1.RAW	Homo sapiens	Epithelial cell	not applicable	Oral squamous cell carcinoma	Metaproteomic_analysis_using_the_Galaxy_framework	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	Galaxy1-tgriffin_koore004_040511_patient4_control_CA_Fr1.RAW	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	1	1	Galaxy1-tgriffin_koore004_040511_patient4_control_CA_Fr1.RAW.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
Galaxy10-tgriffin_koore004_040511_patient4_lesion_LC_Fr3.RAW	Galaxy10-tgriffin_koore004_040511_patient4_lesion_LC_Fr3.RAW	Homo sapiens	Epithelial cell	not applicable	Oral squamous cell carcinoma	Metaproteomic_analysis_using_the_Galaxy_framework	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	Galaxy10-tgriffin_koore004_040511_patient4_lesion_LC_Fr3.RAW	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	1	1	Galaxy10-tgriffin_koore004_040511_patient4_lesion_LC_Fr3.RAW.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
Galaxy11-tgriffin_koore004_040511_patient4_lesion_LD_Fr4.RAW	Galaxy11-tgriffin_koore004_040511_patient4_lesion_LD_Fr4.RAW	Homo sapiens	Epithelial cell	not applicable	Oral squamous cell carcinoma	Metaproteomic_analysis_using_the_Galaxy_framework	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	Galaxy11-tgriffin_koore004_040511_patient4_lesion_LD_Fr4.RAW	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	1	1	Galaxy11-tgriffin_koore004_040511_patient4_lesion_LD_Fr4.RAW.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
Galaxy12-tgriffin_koore004_040511_patient4_lesion_LE_Fr5.RAW	Galaxy12-tgriffin_koore004_040511_patient4_lesion_LE_Fr5.RAW	Homo sapiens	Epithelial cell	not applicable	Oral squamous cell carcinoma	Metaproteomic_analysis_using_the_Galaxy_framework	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	Galaxy12-tgriffin_koore004_040511_patient4_lesion_LE_Fr5.RAW	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	1	1	Galaxy12-tgriffin_koore004_040511_patient4_lesion_LE_Fr5.RAW.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
Galaxy13-tgriffin_koore004_040511_patient4_lesion_LF_Fr6.RAW	Galaxy13-tgriffin_koore004_040511_patient4_lesion_LF_Fr6.RAW	Homo sapiens	Epithelial cell	not applicable	Oral squamous cell carcinoma	Metaproteomic_analysis_using_the_Galaxy_framework	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	Galaxy13-tgriffin_koore004_040511_patient4_lesion_LF_Fr6.RAW	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	1	1	Galaxy13-tgriffin_koore004_040511_patient4_lesion_LF_Fr6.RAW.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
Galaxy14-tgriffin_koore004_040511_patient4_lesion_LG_Fr7.RAW	Galaxy14-tgriffin_koore004_040511_patient4_lesion_LG_Fr7.RAW	Homo sapiens	Epithelial cell	not applicable	Oral squamous cell carcinoma	Metaproteomic_analysis_using_the_Galaxy_framework	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	Galaxy14-tgriffin_koore004_040511_patient4_lesion_LG_Fr7.RAW	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	1	1	Galaxy14-tgriffin_koore004_040511_patient4_lesion_LG_Fr7.RAW.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
Galaxy2-tgriffin_koore004_040511_patient4_control_CB_Fr2.RAW	Galaxy2-tgriffin_koore004_040511_patient4_control_CB_Fr2.RAW	Homo sapiens	Epithelial cell	not applicable	Oral squamous cell carcinoma	Metaproteomic_analysis_using_the_Galaxy_framework	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	Galaxy2-tgriffin_koore004_040511_patient4_control_CB_Fr2.RAW	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	1	1	Galaxy2-tgriffin_koore004_040511_patient4_control_CB_Fr2.RAW.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
Galaxy3-tgriffin_koore004_040511_patient4_control_CC_Fr3.RAW	Galaxy3-tgriffin_koore004_040511_patient4_control_CC_Fr3.RAW	Homo sapiens	Epithelial cell	not applicable	Oral squamous cell carcinoma	Metaproteomic_analysis_using_the_Galaxy_framework	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	Galaxy3-tgriffin_koore004_040511_patient4_control_CC_Fr3.RAW	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	1	1	Galaxy3-tgriffin_koore004_040511_patient4_control_CC_Fr3.RAW.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
Galaxy4-tgriffin_koore004_040511_patient4_control_CD_Fr4.RAW	Galaxy4-tgriffin_koore004_040511_patient4_control_CD_Fr4.RAW	Homo sapiens	Epithelial cell	not applicable	Oral squamous cell carcinoma	Metaproteomic_analysis_using_the_Galaxy_framework	Epithelial cell	Epithelial cell	not available	not available	not available	not available	1	Galaxy4-tgriffin_koore004_040511_patient4_control_CD_Fr4.RAW	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	1	1	Galaxy4-tgriffin_koore004_040511_patient4_control_CD_Fr4.RAW.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Epithelial cell
