source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]	comment[MS min charge]	comment[MS max charge]	comment[collision energy]	comment[ms2 mass analyzer]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]
Sample1	Escherichia coli	not available	not applicable	1	not applicable	Assay1	proteomic profiling by mass spectrometry	1	2014-0403_iTRAQ-2.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=iTRAQ	1	AC=MS:1000422;NT=HCD	6 ppm	50 mmu	not available	NT=ms-proteomics;VV=v1.1.0	2	10	35 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Sample2	Escherichia coli	not available	not applicable	2	not applicable	Assay2	proteomic profiling by mass spectrometry	1	2014-0403_iTRAQ-1.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=iTRAQ	2	AC=MS:1000422;NT=HCD	6 ppm	50 mmu	not available	NT=ms-proteomics;VV=v1.1.0	2	10	35 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Sample3	Escherichia coli	not available	not applicable	3	not applicable	Assay3	proteomic profiling by mass spectrometry	1	2014-0403_iTRAQ-3.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=iTRAQ	3	AC=MS:1000422;NT=HCD	6 ppm	50 mmu	not available	NT=ms-proteomics;VV=v1.1.0	2	10	35 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
Sample4	Escherichia coli	not available	not applicable	4	not applicable	Assay4	proteomic profiling by mass spectrometry	1	2014-0403_iTRAQ-4.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=iTRAQ	4	AC=MS:1000422;NT=HCD	6 ppm	50 mmu	not available	NT=ms-proteomics;VV=v1.1.0	2	10	35 eV	AC=MS:1000484;NT=orbitrap	350	1600	2
