source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
111107ControlA549-6	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	6	111107ControlA549-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111107ControlA549-6.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111107ControlA549-6.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111107SendaiA549-3_2	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	2	111107SendaiA549-3_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111107SendaiA549-3_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111107SendaiA549-3_2.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
110607_phosbabu_i3	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	110607_phosbabu_i3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110607_phosbabu_i3.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/110607_phosbabu_i3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111107ControlA549-3	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	3	111107ControlA549-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111107ControlA549-3.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111107ControlA549-3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111107SendaiA549-1	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	111107SendaiA549-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111107SendaiA549-1.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111107SendaiA549-1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
110606_phosbabu_c3	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	110606_phosbabu_c3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110606_phosbabu_c3.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/110606_phosbabu_c3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111107SendaiA549-3	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	3	111107SendaiA549-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111107SendaiA549-3.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111107SendaiA549-3.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111107ControlA549-4	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	4	111107ControlA549-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111107ControlA549-4.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111107ControlA549-4.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
110606_phosbabu_c2	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	110606_phosbabu_c2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110606_phosbabu_c2.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/110606_phosbabu_c2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111118SendaiA549-7	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	7	111118SendaiA549-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111118SendaiA549-7.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111118SendaiA549-7.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111107ControlA549-1	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	111107ControlA549-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111107ControlA549-1.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111107ControlA549-1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111107ControlA549-5	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	5	111107ControlA549-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111107ControlA549-5.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111107ControlA549-5.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
110607_phosbabu_i2	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	110607_phosbabu_i2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110607_phosbabu_i2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/110607_phosbabu_i2.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
110606_phosbabu_c4	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	110606_phosbabu_c4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110606_phosbabu_c4.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/110606_phosbabu_c4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
111107ControlA549-2	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	2	111107ControlA549-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	50 ppm	0.2 Da	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	111107ControlA549-2.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001561/111107ControlA549-2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	lung
