source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]	comment[MS min charge]	comment[MS max charge]	comment[collision energy]	comment[ms2 mass analyzer]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]
Ecoli_PAL5_r1	Escherichia coli	cell	not available	1	not available	proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	DDA_PAL5_r1.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	5	28 eV	AC=MS:1000484;NT=orbitrap	300	1500	1.4
Ecoli_Control_r1	Escherichia coli	cell	not available	1	not available	proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	DDA_Control_r1.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	5	28 eV	AC=MS:1000484;NT=orbitrap	300	1500	1.4
Ecoli_Control_r2	Escherichia coli	cell	not available	1	not available	proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	2	DDA_Control_r2.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	2	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	5	28 eV	AC=MS:1000484;NT=orbitrap	300	1500	1.4
Ecoli_Control_r3	Escherichia coli	cell	not available	1	not available	proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	3	DDA_Control_r3.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	3	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	5	28 eV	AC=MS:1000484;NT=orbitrap	300	1500	1.4
Ecoli_PAL5_r2	Escherichia coli	cell	not available	1	not available	proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	2	DDA_PAL5_r2.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	2	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	5	28 eV	AC=MS:1000484;NT=orbitrap	300	1500	1.4
Ecoli_PAL5_r3	Escherichia coli	cell	not available	1	not available	proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	3	DDA_PAL5_r3.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	3	AC=MS:1000422;NT=HCD	6 ppm	8 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	5	28 eV	AC=MS:1000484;NT=orbitrap	300	1500	1.4
