source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
Sample 1	NT=Mus musculus;AC=NCBITaxon:10090	brain	not applicable	TANGO2 dysfunction	not applicable	10 wk old	male	1	S5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220318_T3_009.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	NCD TANGO2
Sample 2	NT=Mus musculus;AC=NCBITaxon:10090	brain	not applicable	TANGO2 dysfunction	not applicable	10 wk old	male	2	S6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220318_T3_010.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	NCD TANGO2
Sample 3	NT=Mus musculus;AC=NCBITaxon:10090	brain	not applicable	TANGO2 dysfunction	not applicable	10 wk old	male	3	S7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220318_T3_011.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	NCD TANGO2
Sample 4	NT=Mus musculus;AC=NCBITaxon:10090	brain	not applicable	TANGO2 dysfunction	not applicable	10 wk old	male	4	S8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220318_T3_012.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	NCD TANGO2
Sample 5	NT=Mus musculus;AC=NCBITaxon:10090	brain	not applicable	TANGO2 dysfunction	not applicable	10 wk old	male	5	S1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220318_T3_003.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	NCD WT
Sample 6	NT=Mus musculus;AC=NCBITaxon:10090	brain	not applicable	TANGO2 dysfunction	not applicable	10 wk old	male	6	S2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220318_T3_004.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	NCD WT
Sample 7	NT=Mus musculus;AC=NCBITaxon:10090	brain	not applicable	TANGO2 dysfunction	not applicable	10 wk old	male	7	S3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220318_T3_005.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	NCD WT
Sample 8	NT=Mus musculus;AC=NCBITaxon:10090	brain	not applicable	TANGO2 dysfunction	not applicable	10 wk old	male	8	S4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220318_T3_006.raw	v1.1.0	manual curation	NT=vertebrates;VV=v1.1.0	NCD WT
