source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
BST2_GSNO_Band1_1226006-1	Chlamydomonas reinhardtii	not available	not applicable	not available	1	BST2_GSNO_Band1_1226006-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST2_GSNO_Band1_1226006-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST2_GSNO_Band1_1226006-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST2_Control_Band4_1226006-9	Chlamydomonas reinhardtii	not available	not applicable	not available	9	BST2_Control_Band4_1226006-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST2_Control_Band4_1226006-9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST2_Control_Band4_1226006-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_GSNO_Band10_1215002-10	Chlamydomonas reinhardtii	not available	not applicable	not available	10	BST1_GSNO_Band10_1215002-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_GSNO_Band10_1215002-10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_GSNO_Band10_1215002-10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST2_GSNO_Band2_1226006-2	Chlamydomonas reinhardtii	not available	not applicable	not available	2	BST2_GSNO_Band2_1226006-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST2_GSNO_Band2_1226006-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST2_GSNO_Band2_1226006-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_GSNO_Band5_1215002-5	Chlamydomonas reinhardtii	not available	not applicable	not available	5	BST1_GSNO_Band5_1215002-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_GSNO_Band5_1215002-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_GSNO_Band5_1215002-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_Control_Band4_1215002-14	Chlamydomonas reinhardtii	not available	not applicable	not available	14	BST1_Control_Band4_1215002-14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_Control_Band4_1215002-14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_Control_Band4_1215002-14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_Control_Band5_1215002-15	Chlamydomonas reinhardtii	not available	not applicable	not available	15	BST1_Control_Band5_1215002-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_Control_Band5_1215002-15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_Control_Band5_1215002-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST2_GSNO_Band3_1226006-3	Chlamydomonas reinhardtii	not available	not applicable	not available	3	BST2_GSNO_Band3_1226006-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST2_GSNO_Band3_1226006-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST2_GSNO_Band3_1226006-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST2_Control_Band3_1226006-8	Chlamydomonas reinhardtii	not available	not applicable	not available	8	BST2_Control_Band3_1226006-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST2_Control_Band3_1226006-8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST2_Control_Band3_1226006-8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BST1_GSNO_Band9_1215002-9	Chlamydomonas reinhardtii	not available	not applicable	not available	9	BST1_GSNO_Band9_1215002-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	BST1_GSNO_Band9_1215002-9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/12/PXD000569/BST1_GSNO_Band9_1215002-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
