source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[immunopeptidome enrichment method]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[antibody enrichment]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[ms min charge]	comment[ms max charge]	comment[ms2 mass analyzer]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[source name]
HCC1171	Homo sapiens	lung	HCC1171	non-small cell lung carcinoma	not applicable	cell	not available	not available	not applicable	not applicable	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	04232024_AJ327_dda	proteomic profiling by mass spectrometry	04232024_AJ327_dda.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	300m/z	1000m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	HCC1171
HCC1171	Homo sapiens	lung	HCC1171	non-small cell lung carcinoma	not applicable	cell	not available	not available	not applicable	not applicable	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	04232024_AJ327_dda2	proteomic profiling by mass spectrometry	04232024_AJ327_dda2.raw	2	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	300m/z	1000m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	HCC1171
H1792	Homo sapiens	lung	H1792	non-small cell lung carcinoma	not applicable	cell	not available	not available	not applicable	not applicable	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	04232024_AJ330_dda	proteomic profiling by mass spectrometry	04232024_AJ330_dda.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	300m/z	1000m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	H1792
H1792	Homo sapiens	lung	H1792	non-small cell lung carcinoma	not applicable	cell	not available	not available	not applicable	not applicable	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	04232024_AJ330_dda2	proteomic profiling by mass spectrometry	04232024_AJ330_dda2.raw	2	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	300m/z	1000m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	H1792
H2122	Homo sapiens	lung	H2122	non-small cell lung carcinoma	not applicable	cell	not available	not available	not applicable	not applicable	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	04232024_AJ333_dda	proteomic profiling by mass spectrometry	04232024_AJ333_dda.raw	1	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	300m/z	1000m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	H2122
H2122	Homo sapiens	lung	H2122	non-small cell lung carcinoma	not applicable	cell	not available	not available	not applicable	not applicable	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	04232024_AJ333_dda2	proteomic profiling by mass spectrometry	04232024_AJ333_dda2.raw	2	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	300m/z	1000m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	H2122
Calu6	Homo sapiens	lung	Calu6	non-small cell lung carcinoma	not applicable	cell	not available	not available	not applicable	not applicable	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	20250207_AJ807	proteomic profiling by mass spectrometry	20250207_AJ807.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	300m/z	1000m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	Calu6
HCC78	Homo sapiens	lung	HCC78	non-small cell lung carcinoma	not applicable	cell	not available	not available	not applicable	not applicable	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	20250207_AJ811	proteomic profiling by mass spectrometry	20250207_AJ811.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	300m/z	1000m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	HCC78
H1975_screen	Homo sapiens	lung	H1975	non-small cell lung carcinoma	not applicable	cell	not available	not available	not applicable	not applicable	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	20250207_AJ815	proteomic profiling by mass spectrometry	20250207_AJ815.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	300m/z	1000m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	H1975_screen
A549	Homo sapiens	lung	A549	non-small cell lung carcinoma	not applicable	cell	not available	not available	not applicable	not applicable	1	immunoaffinity purification	MHC class I protein complex	not available	W6/32 (pan-HLA class I)	20250207_AJ819	proteomic profiling by mass spectrometry	20250207_AJ819.raw	1	NT=Orbitrap Ascend;AC=MS:1003356	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	300m/z	1000m/z	2	4	NT=orbitrap;AC=MS:1000484	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	A549
