source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
HA-TurboID-DCAF15-DMSO-biological_replicate_2	Homo sapiens	Gastric cancer cell line	not available	not available	not available	1	HA-TurboID-DCAF15-DMSO-biological_replicate_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	HA-TurboID-DCAF15-DMSO-biological_replicate_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Gastric cancer cell line
HA-TurboID-DCAF15-Indisulam-biological_replicate_2	Homo sapiens	Gastric cancer cell line	not available	not available	not available	1	HA-TurboID-DCAF15-Indisulam-biological_replicate_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	HA-TurboID-DCAF15-Indisulam-biological_replicate_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Gastric cancer cell line
HA-TurboID-DCAF15-Indisulam-biological_replicate_5	Homo sapiens	Gastric cancer cell line	not available	not available	not available	1	HA-TurboID-DCAF15-Indisulam-biological_replicate_5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	HA-TurboID-DCAF15-Indisulam-biological_replicate_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Gastric cancer cell line
HA-TurboID-DCAF15-DMSO-biological_replicate_4	Homo sapiens	Gastric cancer cell line	not available	not available	not available	1	HA-TurboID-DCAF15-DMSO-biological_replicate_4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	HA-TurboID-DCAF15-DMSO-biological_replicate_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Gastric cancer cell line
HA-TurboID-DCAF15-Indisulam-biological_replicate_3	Homo sapiens	Gastric cancer cell line	not available	not available	not available	1	HA-TurboID-DCAF15-Indisulam-biological_replicate_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	HA-TurboID-DCAF15-Indisulam-biological_replicate_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Gastric cancer cell line
HA-TurboID-DCAF15-DMSO-biological_replicate_5	Homo sapiens	Gastric cancer cell line	not available	not available	not available	1	HA-TurboID-DCAF15-DMSO-biological_replicate_5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	HA-TurboID-DCAF15-DMSO-biological_replicate_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Gastric cancer cell line
HA-TurboID-DCAF15-Indisulam-biological_replicate_4	Homo sapiens	Gastric cancer cell line	not available	not available	not available	1	HA-TurboID-DCAF15-Indisulam-biological_replicate_4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	HA-TurboID-DCAF15-Indisulam-biological_replicate_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Gastric cancer cell line
HA-TurboID-DCAF15-DMSO-biological_replicate_3	Homo sapiens	Gastric cancer cell line	not available	not available	not available	1	HA-TurboID-DCAF15-DMSO-biological_replicate_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	HA-TurboID-DCAF15-DMSO-biological_replicate_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Gastric cancer cell line
HA-TurboID-DCAF15-Indisulam-biological_replicate_1	Homo sapiens	Gastric cancer cell line	not available	not available	not available	1	HA-TurboID-DCAF15-Indisulam-biological_replicate_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	HA-TurboID-DCAF15-Indisulam-biological_replicate_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Gastric cancer cell line
HA-TurboID-DCAF15-DMSO-biological_replicate_1	Homo sapiens	Gastric cancer cell line	not available	not available	not available	1	HA-TurboID-DCAF15-DMSO-biological_replicate_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Trypsin;AC=MS:1001251	1	1	HA-TurboID-DCAF15-DMSO-biological_replicate_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Gastric cancer cell line
