scientific_name	common_name	NCBITaxon
Desmodus rotundus	vampire bat	NCBITaxon:9430
Rousettus aegyptiacus	Egyptian fruit bat	NCBITaxon:9407
Pteropus alecto	black flying fox	NCBITaxon:9402
Myotis lucifugus	little brown bat	NCBITaxon:59463
Myotis ricketti	Rickett's big-footed bat	NCBITaxon:203696
Artibeus jamaicensis	Jamaican fruit bat	NCBITaxon:9417
Eptesicus fuscus	big brown bat	NCBITaxon:29078
Carollia perspicillata	Seba's short-tailed bat	NCBITaxon:40233
Rhinolophus ferrumequinum	greater horseshoe bat	NCBITaxon:59479
Hipposideros armiger	great roundleaf bat	NCBITaxon:186990
Suncus murinus	Asian house shrew	NCBITaxon:9378
Mustela putorius furo	ferret	NCBITaxon:9669
Homo sapiens	human	NCBITaxon:9606
Mus musculus	mouse	NCBITaxon:10090
