source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
PXD019380-Sample-1	Mus musculus	heart	cardiac muscle cell	cardiovascular system disease	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiovascular system disease
PXD019380-Sample-2	Mus musculus	heart	cardiac muscle cell	cardiovascular system disease	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiovascular system disease
PXD019380-Sample-3	Mus musculus	heart	cardiac muscle cell	cardiovascular system disease	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiovascular system disease
PXD019380-Sample-4	Mus musculus	heart	cardiac muscle cell	cardiovascular system disease	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiovascular system disease
PXD019380-Sample-5	Mus musculus	heart	cardiac muscle cell	cardiovascular system disease	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiovascular system disease
PXD019380-Sample-6	Mus musculus	heart	cardiac muscle cell	cardiovascular system disease	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_14	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiovascular system disease
PXD019380-Sample-7	Mus musculus	heart	cardiac muscle cell	cardiovascular system disease	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_15	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiovascular system disease
PXD019380-Sample-8	Mus musculus	heart	cardiac muscle cell	cardiovascular system disease	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_16	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiovascular system disease
PXD019380-Sample-9	Mus musculus	heart	cardiac muscle cell	cardiovascular system disease	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_17	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiovascular system disease
PXD019380-Sample-10	Mus musculus	heart	cardiac muscle cell	cardiovascular system disease	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_18	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	J_Peper_I_Lacobucci_050320_010420_Frank_UMG_R1_L2_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiovascular system disease
