source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[material type]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[file type]
A20191004sunyt_TPDDL_b8_108	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20191004sunyt_TPDDL_b8_108	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20191004sunyt_TPDDL_b8_108.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20191004sunyt_TPDDL_b9_109	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20191004sunyt_TPDDL_b9_109	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20191004sunyt_TPDDL_b9_109.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20191004sunyt_TPDDL_b9_114	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20191004sunyt_TPDDL_b9_114	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20191004sunyt_TPDDL_b9_114.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20191004sunyt_TPDDL_b9_115	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20191004sunyt_TPDDL_b9_115	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20191004sunyt_TPDDL_b9_115.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20191005sunyt_TPDDL_b10_125	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20191005sunyt_TPDDL_b10_125	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20191005sunyt_TPDDL_b10_125.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20191025sunyt_TPDDL_b14_124	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20191025sunyt_TPDDL_b14_124	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20191025sunyt_TPDDL_b14_124.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_11_dl16_part1	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_11_dl16_part1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_11_dl16_part1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_11_dl16_part2	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_11_dl16_part2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_11_dl16_part2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_11_dl16_part3	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_11_dl16_part3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_11_dl16_part3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
A20200218sunyt_TPF_4pulseDIA_b2_11_dl16_part4	Homo sapiens	thyroid gland	not available	tissue	1	not available	not available	not available	A20200218sunyt_TPF_4pulseDIA_b2_11_dl16_part4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200218sunyt_TPF_4pulseDIA_b2_11_dl16_part4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	DIA
