source name	characteristics[organism]	characteristics[organism part]	characteristics[strain or breed]	characteristics[developmental stage]	characteristics[growth condition]	characteristics[treatment]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[ms2 mass analyzer]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Flower_bud_F1	NT=Pyrus x bretschneideri;AC=NCBITaxon:225117	NT=flower bud;AC=PO:0000056	not available	not available	not available	not available	NT=normal;AC=PATO:0000461	1	tissue	run 1	proteomic profiling by mass spectrometry	1	1	http://download.iprox.org/IPX0005405000/IPX0005405003/Flower_bud_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=HCD;AC=MS:1002481	not available	not available	not available	NT=data-dependent acquisition;AC=PRIDE:0000627	Flower_bud_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation
Flower_bud_F2	NT=Pyrus x bretschneideri;AC=NCBITaxon:225117	NT=flower bud;AC=PO:0000056	not available	not available	not available	not available	NT=normal;AC=PATO:0000461	2	tissue	run 2	proteomic profiling by mass spectrometry	1	1	http://download.iprox.org/IPX0005405000/IPX0005405003/Flower_bud_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=HCD;AC=MS:1002481	not available	not available	not available	NT=data-dependent acquisition;AC=PRIDE:0000627	Flower_bud_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation
Flower_bud_F3	NT=Pyrus x bretschneideri;AC=NCBITaxon:225117	NT=flower bud;AC=PO:0000056	not available	not available	not available	not available	NT=normal;AC=PATO:0000461	3	tissue	run 3	proteomic profiling by mass spectrometry	1	1	http://download.iprox.org/IPX0005405000/IPX0005405003/Flower_bud_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=HCD;AC=MS:1002481	not available	not available	not available	NT=data-dependent acquisition;AC=PRIDE:0000627	Flower_bud_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation
Flower_bud_F4	NT=Pyrus x bretschneideri;AC=NCBITaxon:225117	NT=flower bud;AC=PO:0000056	not available	not available	not available	not available	NT=normal;AC=PATO:0000461	4	tissue	run 4	proteomic profiling by mass spectrometry	1	1	http://download.iprox.org/IPX0005405000/IPX0005405003/Flower_bud_F4.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=HCD;AC=MS:1002481	not available	not available	not available	NT=data-dependent acquisition;AC=PRIDE:0000627	Flower_bud_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation
Flower_bud_F5	NT=Pyrus x bretschneideri;AC=NCBITaxon:225117	NT=flower bud;AC=PO:0000056	not available	not available	not available	not available	NT=normal;AC=PATO:0000461	5	tissue	run 5	proteomic profiling by mass spectrometry	1	1	http://download.iprox.org/IPX0005405000/IPX0005405003/Flower_bud_F5.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=HCD;AC=MS:1002481	not available	not available	not available	NT=data-dependent acquisition;AC=PRIDE:0000627	Flower_bud_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation
Flower_bud_F6	NT=Pyrus x bretschneideri;AC=NCBITaxon:225117	NT=flower bud;AC=PO:0000056	not available	not available	not available	not available	NT=normal;AC=PATO:0000461	6	tissue	run 6	proteomic profiling by mass spectrometry	1	1	http://download.iprox.org/IPX0005405000/IPX0005405003/Flower_bud_F6.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=HCD;AC=MS:1002481	not available	not available	not available	NT=data-dependent acquisition;AC=PRIDE:0000627	Flower_bud_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation
Flower_bud_F7	NT=Pyrus x bretschneideri;AC=NCBITaxon:225117	NT=flower bud;AC=PO:0000056	not available	not available	not available	not available	NT=normal;AC=PATO:0000461	7	tissue	run 7	proteomic profiling by mass spectrometry	1	1	http://download.iprox.org/IPX0005405000/IPX0005405003/Flower_bud_F7.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=HCD;AC=MS:1002481	not available	not available	not available	NT=data-dependent acquisition;AC=PRIDE:0000627	Flower_bud_F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation
Flower_bud_F8	NT=Pyrus x bretschneideri;AC=NCBITaxon:225117	NT=flower bud;AC=PO:0000056	not available	not available	not available	not available	NT=normal;AC=PATO:0000461	8	tissue	run 8	proteomic profiling by mass spectrometry	1	1	http://download.iprox.org/IPX0005405000/IPX0005405003/Flower_bud_F8.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=HCD;AC=MS:1002481	not available	not available	not available	NT=data-dependent acquisition;AC=PRIDE:0000627	Flower_bud_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation
Flower_bud_F9	NT=Pyrus x bretschneideri;AC=NCBITaxon:225117	NT=flower bud;AC=PO:0000056	not available	not available	not available	not available	NT=normal;AC=PATO:0000461	9	tissue	run 9	proteomic profiling by mass spectrometry	1	1	http://download.iprox.org/IPX0005405000/IPX0005405003/Flower_bud_F9.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=HCD;AC=MS:1002481	not available	not available	not available	NT=data-dependent acquisition;AC=PRIDE:0000627	Flower_bud_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation
Flower_bud_F10	NT=Pyrus x bretschneideri;AC=NCBITaxon:225117	NT=flower bud;AC=PO:0000056	not available	not available	not available	not available	NT=normal;AC=PATO:0000461	10	tissue	run 10	proteomic profiling by mass spectrometry	1	1	http://download.iprox.org/IPX0005405000/IPX0005405003/Flower_bud_F10.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=HCD;AC=MS:1002481	not available	not available	not available	NT=data-dependent acquisition;AC=PRIDE:0000627	Flower_bud_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation
