source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
13-0706_Gautron_6h_13b_ORBI543	gallus gallus	not available	not applicable	not available	1	13-0706_Gautron_6h_13b_ORBI543	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	5 ppm	5000 Da	sds page	1	1	13-0706_Gautron_6h_13b_ORBI543.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001450/13-0706_Gautron_6h_13b_ORBI543.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
13-0306_Gautron_16h_7_ORBI507	gallus gallus	not available	not applicable	not available	1	13-0306_Gautron_16h_7_ORBI507	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	5 ppm	5000 Da	sds page	1	1	13-0306_Gautron_16h_7_ORBI507.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001450/13-0306_Gautron_16h_7_ORBI507.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
13-1506_Gautron_7h_5c_ORBI612	gallus gallus	not available	not applicable	not available	1	13-1506_Gautron_7h_5c_ORBI612	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	5 ppm	5000 Da	sds page	1	1	13-1506_Gautron_7h_5c_ORBI612.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001450/13-1506_Gautron_7h_5c_ORBI612.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
13-3105_Gautron_7h_13_ORBI498	gallus gallus	not available	not applicable	not available	1	13-3105_Gautron_7h_13_ORBI498	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	5 ppm	5000 Da	sds page	1	1	13-3105_Gautron_7h_13_ORBI498.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001450/13-3105_Gautron_7h_13_ORBI498.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
13-0306_Gautron_16h_5_ORBI505	gallus gallus	not available	not applicable	not available	1	13-0306_Gautron_16h_5_ORBI505	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	5 ppm	5000 Da	sds page	1	1	13-0306_Gautron_16h_5_ORBI505.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001450/13-0306_Gautron_16h_5_ORBI505.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
13-0606_Gautron_6h_8b_ORBI538	gallus gallus	not available	not applicable	not available	1	13-0606_Gautron_6h_8b_ORBI538	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	5 ppm	5000 Da	sds page	1	1	13-0606_Gautron_6h_8b_ORBI538.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001450/13-0606_Gautron_6h_8b_ORBI538.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
13-2905_Gautron_6h_2_ORBI472	gallus gallus	not available	not applicable	not available	1	13-2905_Gautron_6h_2_ORBI472	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	5 ppm	5000 Da	sds page	1	1	13-2905_Gautron_6h_2_ORBI472.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001450/13-2905_Gautron_6h_2_ORBI472.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
13-3005_Gautron_6h_13_ORBI483	gallus gallus	not available	not applicable	not available	1	13-3005_Gautron_6h_13_ORBI483	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	5 ppm	5000 Da	sds page	1	1	13-3005_Gautron_6h_13_ORBI483.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001450/13-3005_Gautron_6h_13_ORBI483.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
13-1506_Gautron_7h_1c_ORBI608	gallus gallus	not available	not applicable	not available	1	13-1506_Gautron_7h_1c_ORBI608	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	5 ppm	5000 Da	sds page	1	1	13-1506_Gautron_7h_1c_ORBI608.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001450/13-1506_Gautron_7h_1c_ORBI608.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
13-1506_Gautron_7h_11c_ORBI618	gallus gallus	not available	not applicable	not available	1	13-1506_Gautron_7h_11c_ORBI618	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	5 ppm	5000 Da	sds page	1	1	13-1506_Gautron_7h_11c_ORBI618.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001450/13-1506_Gautron_7h_11c_ORBI618.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
