source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[sampling time]
Jinyou38_0h_rep1	cucumis sativus	leaf	1	not available	organism part	0 hour	not available	seedling development stage	Jinyou 38	greenhouse (25 °C, 16 h light/8 h dark)	92-1.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD012903/92-1.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-113	1	beam-type collision-induced dissociation	Strong cation-exchange chromatography (SCX)	30 NCE	20 ppm	0.1 Da	Dithiothreitol (DTT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	300m/z-1800m/z	0 hour
Jinyou38_0h_rep2	cucumis sativus	leaf	2	not available	organism part	0 hour	not available	seedling development stage	Jinyou 38	greenhouse (25 °C, 16 h light/8 h dark)	92-1.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD012903/92-1.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-114	1	beam-type collision-induced dissociation	Strong cation-exchange chromatography (SCX)	30 NCE	20 ppm	0.1 Da	Dithiothreitol (DTT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	300m/z-1800m/z	0 hour
Jinyou38_6h_rep1	cucumis sativus	leaf	1	not available	organism part	6 hour	Inoculation	seedling development stage	Jinyou 38	greenhouse (25 °C, 16 h light/8 h dark)	92-1.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD012903/92-1.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-115	1	beam-type collision-induced dissociation	Strong cation-exchange chromatography (SCX)	30 NCE	20 ppm	0.1 Da	Dithiothreitol (DTT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	300m/z-1800m/z	6 hour
Jinyou38_6h_rep2	cucumis sativus	leaf	2	not available	organism part	6 hour	Inoculation	seedling development stage	Jinyou 38	greenhouse (25 °C, 16 h light/8 h dark)	92-1.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD012903/92-1.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-116	1	beam-type collision-induced dissociation	Strong cation-exchange chromatography (SCX)	30 NCE	20 ppm	0.1 Da	Dithiothreitol (DTT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	300m/z-1800m/z	6 hour
Jinyou38_6h_rep3	cucumis sativus	leaf	3	not available	organism part	6 hour	Inoculation	seedling development stage	Jinyou 38	greenhouse (25 °C, 16 h light/8 h dark)	92-1.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD012903/92-1.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-117	1	beam-type collision-induced dissociation	Strong cation-exchange chromatography (SCX)	30 NCE	20 ppm	0.1 Da	Dithiothreitol (DTT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	300m/z-1800m/z	6 hour
Jinyou38_24h_rep1	cucumis sativus	leaf	1	not available	organism part	24 hour	Inoculation	seedling development stage	Jinyou 38	greenhouse (25 °C, 16 h light/8 h dark)	92-1.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD012903/92-1.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-118	1	beam-type collision-induced dissociation	Strong cation-exchange chromatography (SCX)	30 NCE	20 ppm	0.1 Da	Dithiothreitol (DTT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	300m/z-1800m/z	24 hour
Jinyou38_24h_rep2	cucumis sativus	leaf	2	not available	organism part	24 hour	Inoculation	seedling development stage	Jinyou 38	greenhouse (25 °C, 16 h light/8 h dark)	92-1.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD012903/92-1.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-119	1	beam-type collision-induced dissociation	Strong cation-exchange chromatography (SCX)	30 NCE	20 ppm	0.1 Da	Dithiothreitol (DTT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	300m/z-1800m/z	24 hour
Jinyou38_24h_rep3	cucumis sativus	leaf	3	not available	organism part	24 hour	Inoculation	seedling development stage	Jinyou 38	greenhouse (25 °C, 16 h light/8 h dark)	92-1.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD012903/92-1.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-121	1	beam-type collision-induced dissociation	Strong cation-exchange chromatography (SCX)	30 NCE	20 ppm	0.1 Da	Dithiothreitol (DTT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	300m/z-1800m/z	24 hour
Jinyou38_0h_rep1	cucumis sativus	leaf	1	not available	organism part	0 hour	not available	seedling development stage	Jinyou 38	greenhouse (25 °C, 16 h light/8 h dark)	92-2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD012903/92-2.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-113	2	beam-type collision-induced dissociation	Strong cation-exchange chromatography (SCX)	30 NCE	20 ppm	0.1 Da	Dithiothreitol (DTT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	300m/z-1800m/z	0 hour
Jinyou38_0h_rep2	cucumis sativus	leaf	2	not available	organism part	0 hour	not available	seedling development stage	Jinyou 38	greenhouse (25 °C, 16 h light/8 h dark)	92-2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/09/PXD012903/92-2.raw	v3.0.0	ms-proteomics v1.1.0	plants v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-114	2	beam-type collision-induced dissociation	Strong cation-exchange chromatography (SCX)	30 NCE	20 ppm	0.1 Da	Dithiothreitol (DTT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	orbitrap	300m/z-1800m/z	0 hour
