source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
10_17_Sorghum_1_metaP_T0	10_17_Sorghum_1_metaP_T0	soil metagenome	soil	not applicable	not available	GNPS_-_CCREM_Microbiome_LCMS_Metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	10_17_Sorghum_1_metaP_T0	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	10_17_Sorghum_1_metaP_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
11_18_Sorghum_2_metaP_T0	11_18_Sorghum_2_metaP_T0	soil metagenome	soil	not applicable	not available	GNPS_-_CCREM_Microbiome_LCMS_Metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	11_18_Sorghum_2_metaP_T0	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	11_18_Sorghum_2_metaP_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
12_19_Sorghum_3_metaP_T0	12_19_Sorghum_3_metaP_T0	soil metagenome	soil	not applicable	not available	GNPS_-_CCREM_Microbiome_LCMS_Metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	12_19_Sorghum_3_metaP_T0	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	12_19_Sorghum_3_metaP_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
13_21_HairyVetch_1_metaP_T0	13_21_HairyVetch_1_metaP_T0	soil metagenome	soil	not applicable	not available	GNPS_-_CCREM_Microbiome_LCMS_Metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	13_21_HairyVetch_1_metaP_T0	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	13_21_HairyVetch_1_metaP_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
14_22_HairyVetch_2_metaP_T0	14_22_HairyVetch_2_metaP_T0	soil metagenome	soil	not applicable	not available	GNPS_-_CCREM_Microbiome_LCMS_Metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	14_22_HairyVetch_2_metaP_T0	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	14_22_HairyVetch_2_metaP_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
15_23_HairyVetch_3_metaP_T0	15_23_HairyVetch_3_metaP_T0	soil metagenome	soil	not applicable	not available	GNPS_-_CCREM_Microbiome_LCMS_Metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	15_23_HairyVetch_3_metaP_T0	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	15_23_HairyVetch_3_metaP_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
16_121_ControlSoil_1_metaP_T5	16_121_ControlSoil_1_metaP_T5	soil metagenome	soil	not applicable	not available	GNPS_-_CCREM_Microbiome_LCMS_Metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	16_121_ControlSoil_1_metaP_T5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	16_121_ControlSoil_1_metaP_T5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
1_1_ControlSoil_1_metaP_T0	1_1_ControlSoil_1_metaP_T0	soil metagenome	soil	not applicable	not available	GNPS_-_CCREM_Microbiome_LCMS_Metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	1_1_ControlSoil_1_metaP_T0	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	1_1_ControlSoil_1_metaP_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
sample31-38.zip	sample31-38.zip	soil metagenome	soil	not applicable	not available	GNPS_-_CCREM_Microbiome_LCMS_Metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	sample31-38.zip	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	sample31-38.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
Samples 17-23.zip	Samples_17-23.zip	soil metagenome	soil	not applicable	not available	GNPS_-_CCREM_Microbiome_LCMS_Metaproteomics	soil	soil	not available	not available	not available	not available	soil microbiome	1	Samples 17-23.zip	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Samples 17-23.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
