source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_26	Mus musculus	not available	not applicable	not available	1	OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_24_rerun	Mus musculus	not available	not applicable	not available	1	OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_24_rerun	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_24_rerun.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR9_2010809_EC_SCX_MIX3_mouse_cerebellum_24_rerun.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120718_EC_SCX_MIX2_mouse_cerebellum_13_repeat	Mus musculus	not available	not applicable	not available	1	OR6_120718_EC_SCX_MIX2_mouse_cerebellum_13_repeat	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120718_EC_SCX_MIX2_mouse_cerebellum_13_repeat.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120718_EC_SCX_MIX2_mouse_cerebellum_13_repeat.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120619_EC_SCX_MIX1_mouse_cerebellum_12	Mus musculus	not available	not applicable	not available	1	OR6_120619_EC_SCX_MIX1_mouse_cerebellum_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120619_EC_SCX_MIX1_mouse_cerebellum_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120619_EC_SCX_MIX1_mouse_cerebellum_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120718_EC_SCX_MIX2_mouse_cerebellum_14	Mus musculus	not available	not applicable	not available	1	OR6_120718_EC_SCX_MIX2_mouse_cerebellum_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120718_EC_SCX_MIX2_mouse_cerebellum_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120718_EC_SCX_MIX2_mouse_cerebellum_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120718_EC_SCX_MIX2_mouse_cerebellum_09	Mus musculus	not available	not applicable	not available	1	OR6_120718_EC_SCX_MIX2_mouse_cerebellum_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120718_EC_SCX_MIX2_mouse_cerebellum_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120718_EC_SCX_MIX2_mouse_cerebellum_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120718_EC_SCX_MIX2_mouse_cerebellum_18	Mus musculus	not available	not applicable	not available	1	OR6_120718_EC_SCX_MIX2_mouse_cerebellum_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120718_EC_SCX_MIX2_mouse_cerebellum_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120718_EC_SCX_MIX2_mouse_cerebellum_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR5_120621_EC_SCX_MIX2_mouse_cerebellum_19_01	Mus musculus	not available	not applicable	not available	1	OR5_120621_EC_SCX_MIX2_mouse_cerebellum_19_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR5_120621_EC_SCX_MIX2_mouse_cerebellum_19_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR5_120621_EC_SCX_MIX2_mouse_cerebellum_19_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120619_EC_SCX_MIX1_mouse_cerebellum_18	Mus musculus	not available	not applicable	not available	1	OR6_120619_EC_SCX_MIX1_mouse_cerebellum_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR6_120619_EC_SCX_MIX1_mouse_cerebellum_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR6_120619_EC_SCX_MIX1_mouse_cerebellum_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR9_20130208_EC_mouse_cerebellum_MIX2_TiIMAC_01	Mus musculus	not available	not applicable	not available	1	OR9_20130208_EC_mouse_cerebellum_MIX2_TiIMAC_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR9_20130208_EC_mouse_cerebellum_MIX2_TiIMAC_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000502/OR9_20130208_EC_mouse_cerebellum_MIX2_TiIMAC_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
