source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Sample1	Nicotiana benthamiana	protein extract	not available	1	not available	not available	not available	not available	not available	Assay1	proteomic profiling by mass spectrometry	1	BBM_569_P237_01_FRH_007.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf-x;AC=MS:1002877	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample2	Nicotiana benthamiana	protein extract	not available	1	not available	not available	not available	not available	not available	Assay2	proteomic profiling by mass spectrometry	1	BBM_569_P237_01_FRH_006.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf-x;AC=MS:1002877	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample3	Nicotiana benthamiana	protein extract	not available	1	not available	not available	not available	not available	not available	Assay3	proteomic profiling by mass spectrometry	1	BBM_569_P237_01_FRH_003.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf-x;AC=MS:1002877	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample4	Nicotiana benthamiana	protein extract	not available	1	not available	not available	not available	not available	not available	Assay4	proteomic profiling by mass spectrometry	1	BBM_569_P237_01_FRH_001.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf-x;AC=MS:1002877	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample5	Nicotiana benthamiana	protein extract	not available	1	not available	not available	not available	not available	not available	Assay5	proteomic profiling by mass spectrometry	1	BBM_569_P237_01_FRH_008.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf-x;AC=MS:1002877	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample6	Nicotiana benthamiana	protein extract	not available	1	not available	not available	not available	not available	not available	Assay6	proteomic profiling by mass spectrometry	1	BBM_569_P237_01_FRH_004.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf-x;AC=MS:1002877	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample7	Nicotiana benthamiana	protein extract	not available	1	not available	not available	not available	not available	not available	Assay7	proteomic profiling by mass spectrometry	1	BBM_569_P237_01_FRH_010.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf-x;AC=MS:1002877	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	7	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample8	Nicotiana benthamiana	protein extract	not available	1	not available	not available	not available	not available	not available	Assay8	proteomic profiling by mass spectrometry	1	BBM_569_P237_01_FRH_005.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf-x;AC=MS:1002877	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	8	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample9	Nicotiana benthamiana	protein extract	not available	1	not available	not available	not available	not available	not available	Assay9	proteomic profiling by mass spectrometry	1	BBM_569_P237_01_FRH_002.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf-x;AC=MS:1002877	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	9	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Sample10	Nicotiana benthamiana	protein extract	not available	1	not available	not available	not available	not available	not available	Assay10	proteomic profiling by mass spectrometry	1	BBM_569_P237_01_FRH_009.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf-x;AC=MS:1002877	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	10	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
