source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
140814_Fusion_Adnan_Yeast_PN_Trypsin_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF10	saccharomyces cerevisiae	Haploid cell	not applicable	not available	enrichment	1	140814_Fusion_Adnan_Yeast_PN_Trypsin_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion etd;AC=MS:1002417	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	5 ppm	0.05 Da	40% NCE	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140814_Fusion_Adnan_Yeast_PN_Trypsin_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD003238/140814_Fusion_Adnan_Yeast_PN_Trypsin_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Haploid cell
140814_Fusion_Adnan_Yeast_PN_Trypsin_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF4	saccharomyces cerevisiae	Haploid cell	not applicable	not available	enrichment	1	140814_Fusion_Adnan_Yeast_PN_Trypsin_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion etd;AC=MS:1002417	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	5 ppm	0.05 Da	40% NCE	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140814_Fusion_Adnan_Yeast_PN_Trypsin_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD003238/140814_Fusion_Adnan_Yeast_PN_Trypsin_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Haploid cell
140817_Fusion_Adnan_Yeast_PN_Chymo_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF4	saccharomyces cerevisiae	Haploid cell	not applicable	not available	enrichment	1	140817_Fusion_Adnan_Yeast_PN_Chymo_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion etd;AC=MS:1002417	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	5 ppm	0.05 Da	40% NCE	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140817_Fusion_Adnan_Yeast_PN_Chymo_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD003238/140817_Fusion_Adnan_Yeast_PN_Chymo_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Haploid cell
150206_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_trypsin_2h_LC_2_5HCD18_5ETD22m8_IEF6	saccharomyces cerevisiae	Haploid cell	not applicable	not available	enrichment	1	150206_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_trypsin_2h_LC_2_5HCD18_5ETD22m8_IEF6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion etd;AC=MS:1002417	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	5 ppm	0.05 Da	40% NCE	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	150206_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_trypsin_2h_LC_2_5HCD18_5ETD22m8_IEF6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD003238/150206_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_trypsin_2h_LC_2_5HCD18_5ETD22m8_IEF6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Haploid cell
150211_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_chymo_2h_LC_2_5HCD18_5ETD22m8_50_IEF1	saccharomyces cerevisiae	Haploid cell	not applicable	not available	enrichment	1	150211_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_chymo_2h_LC_2_5HCD18_5ETD22m8_50_IEF1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion etd;AC=MS:1002417	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	5 ppm	0.05 Da	40% NCE	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	150211_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_chymo_2h_LC_2_5HCD18_5ETD22m8_50_IEF1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD003238/150211_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_chymo_2h_LC_2_5HCD18_5ETD22m8_50_IEF1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Haploid cell
150211_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_chymo_2h_LC_2_5HCD18_5ETD22m8_50_IEF2	saccharomyces cerevisiae	Haploid cell	not applicable	not available	enrichment	1	150211_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_chymo_2h_LC_2_5HCD18_5ETD22m8_50_IEF2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion etd;AC=MS:1002417	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	5 ppm	0.05 Da	40% NCE	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	150211_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_chymo_2h_LC_2_5HCD18_5ETD22m8_50_IEF2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD003238/150211_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_chymo_2h_LC_2_5HCD18_5ETD22m8_50_IEF2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Haploid cell
140814_Fusion_Adnan_Yeast_PN_Trypsin_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF7	saccharomyces cerevisiae	Haploid cell	not applicable	not available	enrichment	1	140814_Fusion_Adnan_Yeast_PN_Trypsin_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion etd;AC=MS:1002417	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	5 ppm	0.05 Da	40% NCE	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140814_Fusion_Adnan_Yeast_PN_Trypsin_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD003238/140814_Fusion_Adnan_Yeast_PN_Trypsin_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Haploid cell
150206_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_trypsin_2h_LC_2_5HCD18_5ETD22m8_IEF9	saccharomyces cerevisiae	Haploid cell	not applicable	not available	enrichment	1	150206_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_trypsin_2h_LC_2_5HCD18_5ETD22m8_IEF9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion etd;AC=MS:1002417	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	5 ppm	0.05 Da	40% NCE	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	150206_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_trypsin_2h_LC_2_5HCD18_5ETD22m8_IEF9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD003238/150206_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_trypsin_2h_LC_2_5HCD18_5ETD22m8_IEF9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Haploid cell
150206_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_trypsin_2h_LC_2_5HCD18_5ETD22m8_IEF11	saccharomyces cerevisiae	Haploid cell	not applicable	not available	enrichment	1	150206_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_trypsin_2h_LC_2_5HCD18_5ETD22m8_IEF11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion etd;AC=MS:1002417	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	5 ppm	0.05 Da	40% NCE	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	150206_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_trypsin_2h_LC_2_5HCD18_5ETD22m8_IEF11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD003238/150206_Fusion_Adnan_Yeast_Kre_mut_Dec_2014_trypsin_2h_LC_2_5HCD18_5ETD22m8_IEF11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Haploid cell
140817_Fusion_Adnan_Yeast_PN_Chymo_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF9	saccharomyces cerevisiae	Haploid cell	not applicable	not available	enrichment	1	140817_Fusion_Adnan_Yeast_PN_Chymo_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion etd;AC=MS:1002417	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	not available	5 ppm	0.05 Da	40% NCE	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140817_Fusion_Adnan_Yeast_PN_Chymo_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD003238/140817_Fusion_Adnan_Yeast_PN_Chymo_TCL_ConA010314_2h_LC_2_HCD_ETD_50_IEF9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Haploid cell
