source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[material type]	characteristics[sample type]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[culture medium]	characteristics[biorepository]	characteristics[sampling site]	characteristics[ancestry category]	characteristics[enrichment process]	characteristics[treatment]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]	factor value[compound]
H358_DMSO_r1	Homo sapiens	lung	club cell	minimally invasive lung adenocarcinoma	NCI-H358	CVCL_1559	NCI-H358	cell line	study sample	not available	male	adult	Roswell Park Memorial Institute 1640 Medium	ATCC	lung	European ancestry	enrichment of phosphorylated protein	DMSO vehicle	dimethyl sulfoxide	not applicable	12 hour	1	C1_A_H358CAP-40-2156	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	1	1	C1_A_H358CAP-40-2156.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NCI-H358	dimethyl sulfoxide
H358_DMSO_r1	Homo sapiens	lung	club cell	minimally invasive lung adenocarcinoma	NCI-H358	CVCL_1559	NCI-H358	cell line	study sample	not available	male	adult	Roswell Park Memorial Institute 1640 Medium	ATCC	lung	European ancestry	enrichment of phosphorylated protein	DMSO vehicle	dimethyl sulfoxide	not applicable	12 hour	1	C1_B_H358CAP-40-2158	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	1	2	C1_B_H358CAP-40-2158.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NCI-H358	dimethyl sulfoxide
H358_DMSO_r2	Homo sapiens	lung	club cell	minimally invasive lung adenocarcinoma	NCI-H358	CVCL_1559	NCI-H358	cell line	study sample	not available	male	adult	Roswell Park Memorial Institute 1640 Medium	ATCC	lung	European ancestry	enrichment of phosphorylated protein	DMSO vehicle	dimethyl sulfoxide	not applicable	12 hour	2	C2_A_H358CAP-40-2161	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	1	1	C2_A_H358CAP-40-2161.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NCI-H358	dimethyl sulfoxide
H358_DMSO_r2	Homo sapiens	lung	club cell	minimally invasive lung adenocarcinoma	NCI-H358	CVCL_1559	NCI-H358	cell line	study sample	not available	male	adult	Roswell Park Memorial Institute 1640 Medium	ATCC	lung	European ancestry	enrichment of phosphorylated protein	DMSO vehicle	dimethyl sulfoxide	not applicable	12 hour	2	C2_B_H358CAP-40-2164	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	1	2	C2_B_H358CAP-40-2164.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NCI-H358	dimethyl sulfoxide
H358_DMSO_r3	Homo sapiens	lung	club cell	minimally invasive lung adenocarcinoma	NCI-H358	CVCL_1559	NCI-H358	cell line	study sample	not available	male	adult	Roswell Park Memorial Institute 1640 Medium	ATCC	lung	European ancestry	enrichment of phosphorylated protein	DMSO vehicle	dimethyl sulfoxide	not applicable	12 hour	3	C3_A_H358CAP-40-2173	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	1	1	C3_A_H358CAP-40-2173.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NCI-H358	dimethyl sulfoxide
H358_DMSO_r3	Homo sapiens	lung	club cell	minimally invasive lung adenocarcinoma	NCI-H358	CVCL_1559	NCI-H358	cell line	study sample	not available	male	adult	Roswell Park Memorial Institute 1640 Medium	ATCC	lung	European ancestry	enrichment of phosphorylated protein	DMSO vehicle	dimethyl sulfoxide	not applicable	12 hour	3	C3_B_H358CAP-40-2177	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	1	2	C3_B_H358CAP-40-2177.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NCI-H358	dimethyl sulfoxide
H358_TRC-794_r1	Homo sapiens	lung	club cell	minimally invasive lung adenocarcinoma	NCI-H358	CVCL_1559	NCI-H358	cell line	study sample	not available	male	adult	Roswell Park Memorial Institute 1640 Medium	ATCC	lung	European ancestry	enrichment of phosphorylated protein	TRC-794	not available	20 uM	12 hour	1	D1_A_H358CAP-40-2180	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	1	1	D1_A_H358CAP-40-2180.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NCI-H358	not available
H358_TRC-794_r1	Homo sapiens	lung	club cell	minimally invasive lung adenocarcinoma	NCI-H358	CVCL_1559	NCI-H358	cell line	study sample	not available	male	adult	Roswell Park Memorial Institute 1640 Medium	ATCC	lung	European ancestry	enrichment of phosphorylated protein	TRC-794	not available	20 uM	12 hour	1	D1_B_H358CAP-40-2183	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	1	2	D1_B_H358CAP-40-2183.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NCI-H358	not available
H358_TRC-794_r2	Homo sapiens	lung	club cell	minimally invasive lung adenocarcinoma	NCI-H358	CVCL_1559	NCI-H358	cell line	study sample	not available	male	adult	Roswell Park Memorial Institute 1640 Medium	ATCC	lung	European ancestry	enrichment of phosphorylated protein	TRC-794	not available	20 uM	12 hour	2	D2_A_H358CAP-40-2186	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	1	1	D2_A_H358CAP-40-2186.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NCI-H358	not available
H358_TRC-794_r2	Homo sapiens	lung	club cell	minimally invasive lung adenocarcinoma	NCI-H358	CVCL_1559	NCI-H358	cell line	study sample	not available	male	adult	Roswell Park Memorial Institute 1640 Medium	ATCC	lung	European ancestry	enrichment of phosphorylated protein	TRC-794	not available	20 uM	12 hour	2	D2_B_H358CAP-40-2189	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	1	2	D2_B_H358CAP-40-2189.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NCI-H358	not available
