source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
053113_Wang_ITRAQ_21	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	21	053113_Wang_ITRAQ_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_20	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	20	053113_Wang_ITRAQ_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_19	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	19	053113_Wang_ITRAQ_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_5	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	5	053113_Wang_ITRAQ_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_12	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	12	053113_Wang_ITRAQ_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_1	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	1	053113_Wang_ITRAQ_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_7	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	7	053113_Wang_ITRAQ_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_16	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	16	053113_Wang_ITRAQ_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_23	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	23	053113_Wang_ITRAQ_23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_23.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
053113_Wang_ITRAQ_10	homo sapiens	Epithelial cell	not applicable	Prostate adenocarcinoma	10	053113_Wang_ITRAQ_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.06 Da	0.06 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	053113_Wang_ITRAQ_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002107/053113_Wang_ITRAQ_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
