source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Xenograftsample1_run2.zip	homo sapiens	Epithelial cell	not applicable	Non-small cell lung carcinoma	enrichment of phosphorylated protein	1	Xenograftsample1_run2.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.1 Da	1	1	Xenograftsample1_run2.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000701/Xenograftsample1_run2.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
Xenograftsample2_run1.zip	homo sapiens	Epithelial cell	not applicable	Non-small cell lung carcinoma	enrichment of phosphorylated protein	1	Xenograftsample2_run1.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.1 Da	1	1	Xenograftsample2_run1.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000701/Xenograftsample2_run1.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
Xenograftsample1_run1.zip	homo sapiens	Epithelial cell	not applicable	Non-small cell lung carcinoma	enrichment of phosphorylated protein	1	Xenograftsample1_run1.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.1 Da	1	1	Xenograftsample1_run1.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000701/Xenograftsample1_run1.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
Xenograftsample2_run2.zip	homo sapiens	Epithelial cell	not applicable	Non-small cell lung carcinoma	enrichment of phosphorylated protein	1	Xenograftsample2_run2.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.1 Da	1	1	Xenograftsample2_run2.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000701/Xenograftsample2_run2.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
