source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ffpe2	mus musculus	Liver	not applicable	not available	1	ffpe2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ffpe2.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ffpe2.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ffpe_heavy05	mus musculus	Liver	not applicable	not available	1	ffpe_heavy05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ffpe_heavy05.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ffpe_heavy05.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ffpe_heavy03	mus musculus	Liver	not applicable	not available	1	ffpe_heavy03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ffpe_heavy03.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ffpe_heavy03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt2_05	mus musculus	Liver	not applicable	not available	5	ctsl_vs_wt2_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt2_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt2_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ffpe_heavy06	mus musculus	Liver	not applicable	not available	1	ffpe_heavy06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ffpe_heavy06.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ffpe_heavy06.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt2_04	mus musculus	Liver	not applicable	not available	4	ctsl_vs_wt2_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt2_04.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt2_04.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
cryo3	mus musculus	Liver	not applicable	not available	1	cryo3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	cryo3.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/cryo3.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt1_02	mus musculus	Liver	not applicable	not available	2	ctsl_vs_wt1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt1_02.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt1_02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ffpe_heavy02	mus musculus	Liver	not applicable	not available	1	ffpe_heavy02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ffpe_heavy02.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ffpe_heavy02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
ctsl_vs_wt3_04	mus musculus	Liver	not applicable	not available	4	ctsl_vs_wt3_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28.03 Da	strong cation-exchange chromatography (scx)	1	1	ctsl_vs_wt3_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002847/ctsl_vs_wt3_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
