source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
HAP1_WT	Homo sapiens	cell line	blood	CML	HAP1	CVCL_5G07	1	not available	not available	01_WT_1	proteomic profiling by mass spectrometry	1	01_WT_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	CML
HAP1_WT	Homo sapiens	cell line	blood	CML	HAP1	CVCL_5G07	2	not available	not available	02_WT_2	proteomic profiling by mass spectrometry	2	02_WT_2.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	CML
HAP1_WT	Homo sapiens	cell line	blood	CML	HAP1	CVCL_5G07	3	not available	not available	03_WT_11	proteomic profiling by mass spectrometry	3	03_WT_11.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	CML
HAP1_DHRSXKO_RESCUE	Homo sapiens	cell line	blood	CML	HAP1	CVCL_5G07	1	not available	not available	04_DHRSXKO_rescue_DHRSX_1	proteomic profiling by mass spectrometry	4	04_DHRSXKO_rescue_DHRSX_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	CML
HAP1_DHRSXKO_RESCUE	Homo sapiens	cell line	blood	CML	HAP1	CVCL_5G07	2	not available	not available	05_DHRSXKO_rescue_DHRSX_2	proteomic profiling by mass spectrometry	5	05_DHRSXKO_rescue_DHRSX_2.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	CML
HAP1_DHRSXKO_RESCUE	Homo sapiens	cell line	blood	CML	HAP1	CVCL_5G07	3	not available	not available	06_DHRSXKO_rescue_DHRSX_3	proteomic profiling by mass spectrometry	6	06_DHRSXKO_rescue_DHRSX_3.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	CML
HAP1_SRD5A3KO_RESCUE	Homo sapiens	cell line	blood	CML	HAP1	CVCL_5G07	1	not available	not available	07_SRD5A3KO_rescue_SRD5A3_1	proteomic profiling by mass spectrometry	7	07_SRD5A3KO_rescue_SRD5A3_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	CML
HAP1_SRD5A3KO_RESCUE	Homo sapiens	cell line	blood	CML	HAP1	CVCL_5G07	2	not available	not available	08_SRD5A3KO_rescue_SRD5A3_2	proteomic profiling by mass spectrometry	8	08_SRD5A3KO_rescue_SRD5A3_2.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	CML
HAP1_SRD5A3KO_RESCUE	Homo sapiens	cell line	blood	CML	HAP1	CVCL_5G07	3	not available	not available	09_SRD5A3KO_rescue_SRD5A3_3	proteomic profiling by mass spectrometry	9	09_SRD5A3KO_rescue_SRD5A3_3.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	CML
HAP1_SRD5A3KO	Homo sapiens	cell line	blood	CML	HAP1	CVCL_5G07	1	not available	not available	10_SRD5A3KO_1	proteomic profiling by mass spectrometry	10	10_SRD5A3KO_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=Data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	CML
