source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[fractionation method]
HepG2 sample 1	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	1	cell line	HepG2	CVCL_0027	HepG2	not available	not available	run 1	proteomic profiling by mass spectrometry	1	1	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HepG2_complex_sample_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	1D-LC
HepG2 sample 1	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	1	cell line	HepG2	CVCL_0027	HepG2	not available	not available	run 2	proteomic profiling by mass spectrometry	1	2	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HepG2_complex_sample_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	1D-LC
HepG2 sample 1	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	1	cell line	HepG2	CVCL_0027	HepG2	not available	not available	run 3	proteomic profiling by mass spectrometry	1	3	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HepG2_complex_sample_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	1D-LC
HepG2 sample 1	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	1	cell line	HepG2	CVCL_0027	HepG2	not available	not available	run 4	proteomic profiling by mass spectrometry	1	1	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HepG2_1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	2D-LC
HepG2 sample 1	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	1	cell line	HepG2	CVCL_0027	HepG2	not available	not available	run 5	proteomic profiling by mass spectrometry	2	1	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HepG2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	2D-LC
HepG2 sample 1	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	1	cell line	HepG2	CVCL_0027	HepG2	not available	not available	run 6	proteomic profiling by mass spectrometry	3	1	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HepG2_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	2D-LC
HepG2 sample 1	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	1	cell line	HepG2	CVCL_0027	HepG2	not available	not available	run 7	proteomic profiling by mass spectrometry	4	1	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HepG2_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	2D-LC
HepG2 sample 1	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	1	cell line	HepG2	CVCL_0027	HepG2	not available	not available	run 8	proteomic profiling by mass spectrometry	5	1	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HepG2_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	2D-LC
HepG2 sample 1	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	1	cell line	HepG2	CVCL_0027	HepG2	not available	not available	run 9	proteomic profiling by mass spectrometry	6	1	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HepG2_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	2D-LC
HepG2 sample 1	Homo sapiens	liver	hepatocellular carcinoma	hepatocyte	1	cell line	HepG2	CVCL_0027	HepG2	not available	not available	run 10	proteomic profiling by mass spectrometry	7	1	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HepG2_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	2D-LC
