source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[phenotype]	characteristics[pooled sample]	characteristics[sample type]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[dia method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[ms1 scan range]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[phenotype]
UG19_sEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG19	100K small urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG19_EV_20220902103914	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG19_EV_20220902103914.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	100K small urinary extracellular vesicles
UG19_lEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG19	17K large urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG19_MV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG19_MV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	17K large urinary extracellular vesicles
UG20_sEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG20	100K small urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG20_EV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG20_EV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	100K small urinary extracellular vesicles
UG20_lEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG20	17K large urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG20_MV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG20_MV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	17K large urinary extracellular vesicles
UG22_sEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG22	100K small urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG22_EV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG22_EV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	100K small urinary extracellular vesicles
UG22_lEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG22	17K large urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG22_MV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG22_MV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	17K large urinary extracellular vesicles
UG24_sEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG24	100K small urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG24_EV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG24_EV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	100K small urinary extracellular vesicles
UG24_lEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG24	17K large urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG24_MV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG24_MV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	17K large urinary extracellular vesicles
UG31_sEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG31	100K small urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG31_EV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG31_EV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	100K small urinary extracellular vesicles
UG31_lEV	Homo sapiens	urine	IDH-wildtype glioblastoma	not applicable	organism part	adult	not available	not available	not available	UG31	17K large urinary extracellular vesicles	not pooled	study sample	no depletion	1	20220829_QEHFX3_LS_UG31_MV	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	350	1650	not available	350m/z-1650m/z	1	1	20220829_QEHFX3_LS_UG31_MV.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	IDH-wildtype glioblastoma	17K large urinary extracellular vesicles
