source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
N_benthamiana_1	Nicotiana benthamiana	leaf	not available	1	not available	not available	not available	not available	not available	ARID_proteins_acetylation	proteomic profiling by mass spectrometry	1	GST-ARID3-His6_WT_R1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	1	NT=data-dependent	10 ppm	20 ppm	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
N_benthamiana_2	Nicotiana benthamiana	leaf	not available	1	not available	not available	not available	not available	not available	ARID_proteins_acetylation	proteomic profiling by mass spectrometry	1	ARID4-eGFP_C321A_R1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	2	NT=data-dependent	10 ppm	20 ppm	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
N_benthamiana_3	Nicotiana benthamiana	leaf	not available	2	not available	not available	not available	not available	not available	ARID_proteins_acetylation	proteomic profiling by mass spectrometry	1	ARID2-eGFP_WT_R2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	3	NT=data-dependent	10 ppm	20 ppm	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
N_benthamiana_4	Nicotiana benthamiana	leaf	not available	1	not available	not available	not available	not available	not available	ARID_proteins_acetylation	proteomic profiling by mass spectrometry	1	ARID2-eGFP_C321A_R1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	4	NT=data-dependent	10 ppm	20 ppm	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
N_benthamiana_5	Nicotiana benthamiana	leaf	not available	1	not available	not available	not available	not available	not available	ARID_proteins_acetylation	proteomic profiling by mass spectrometry	1	ARID3-eGFP_WT_R1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	5	NT=data-dependent	10 ppm	20 ppm	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
N_benthamiana_6	Nicotiana benthamiana	leaf	not available	1	not available	not available	not available	not available	not available	ARID_proteins_acetylation	proteomic profiling by mass spectrometry	1	ARID2-eGFP_WT_R1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	6	NT=data-dependent	10 ppm	20 ppm	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
N_benthamiana_7	Nicotiana benthamiana	leaf	not available	3	not available	not available	not available	not available	not available	ARID_proteins_acetylation	proteomic profiling by mass spectrometry	1	GST-ARID3-His6_WT_R3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	7	NT=data-dependent	10 ppm	20 ppm	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
N_benthamiana_8	Nicotiana benthamiana	leaf	not available	2	not available	not available	not available	not available	not available	ARID_proteins_acetylation	proteomic profiling by mass spectrometry	1	ARID3-eGFP_WT_R2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	8	NT=data-dependent	10 ppm	20 ppm	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
N_benthamiana_9	Nicotiana benthamiana	leaf	not available	2	not available	not available	not available	not available	not available	ARID_proteins_acetylation	proteomic profiling by mass spectrometry	1	ARID4-eGFP_C321A_R2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	9	NT=data-dependent	10 ppm	20 ppm	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
N_benthamiana_10	Nicotiana benthamiana	leaf	not available	2	not available	not available	not available	not available	not available	ARID_proteins_acetylation	proteomic profiling by mass spectrometry	1	ARID3-eGFP_C321A_R2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin/p;AC=MS:1001313	NT=label free sample;AC=MS:1002038	10	NT=data-dependent	10 ppm	20 ppm	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
