source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain or breed]	factor value[treatment]
A122_T2_b3	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	12 h cold 4C (T2)	organism part	study sample	3	acetylome_Z9263LPAc_B3_3_Slot1-33_1_1089	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LPAc_B3_3_Slot1-33_1_1089.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	12 h cold 4C (T2)
A122_R1_b1	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	recovery 1 h after 72 h cold (R1)	organism part	study sample	1	acetylome_Z9263LPAc_B4_1_Slot1-34_1_1091	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LPAc_B4_1_Slot1-34_1_1091.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	recovery 1 h after 72 h cold (R1)
A122_R1_b2	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	recovery 1 h after 72 h cold (R1)	organism part	study sample	2	acetylome_Z9263LPAc_B4_2_Slot1-34_1_1092	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LPAc_B4_2_Slot1-34_1_1092.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	recovery 1 h after 72 h cold (R1)
A122_R1_b3	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	recovery 1 h after 72 h cold (R1)	organism part	study sample	3	acetylome_Z9263LPAc_B4_3_Slot1-34_1_1093	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LPAc_B4_3_Slot1-34_1_1093.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	recovery 1 h after 72 h cold (R1)
A188_T0_b1	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A188 (cold-resistant)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	0 h cold (T0)	organism part	study sample	1	proteome_Z9263LQ_A1_1_Slot1-46_1_482	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_A1_1_Slot1-46_1_482.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A188 (cold-resistant)	0 h cold (T0)
A188_T0_b2	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A188 (cold-resistant)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	0 h cold (T0)	organism part	study sample	2	proteome_Z9263LQ_A1_2_Slot1-46_1_484	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_A1_2_Slot1-46_1_484.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A188 (cold-resistant)	0 h cold (T0)
A188_T0_b3	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A188 (cold-resistant)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	0 h cold (T0)	organism part	study sample	3	proteome_Z9263LQ_A1_3_Slot1-46_1_486	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_A1_3_Slot1-46_1_486.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A188 (cold-resistant)	0 h cold (T0)
A188_T1_b1	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A188 (cold-resistant)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	2 h cold 4C (T1)	organism part	study sample	1	proteome_Z9263LQ_A2_1_Slot1-47_1_488	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_A2_1_Slot1-47_1_488.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A188 (cold-resistant)	2 h cold 4C (T1)
A188_T1_b2	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A188 (cold-resistant)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	2 h cold 4C (T1)	organism part	study sample	2	proteome_Z9263LQ_A2_2_Slot1-47_1_490	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_A2_2_Slot1-47_1_490.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A188 (cold-resistant)	2 h cold 4C (T1)
A188_T1_b3	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A188 (cold-resistant)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	2 h cold 4C (T1)	organism part	study sample	3	proteome_Z9263LQ_A2_3_Slot1-47_1_492	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_A2_3_Slot1-47_1_492.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A188 (cold-resistant)	2 h cold 4C (T1)
A188_T2_b1	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A188 (cold-resistant)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	12 h cold 4C (T2)	organism part	study sample	1	proteome_Z9263LQ_A3_1_Slot1-48_1_494	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_A3_1_Slot1-48_1_494.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A188 (cold-resistant)	12 h cold 4C (T2)
A188_T2_b2	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A188 (cold-resistant)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	12 h cold 4C (T2)	organism part	study sample	2	proteome_Z9263LQ_A3_2_Slot1-48_1_496	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_A3_2_Slot1-48_1_496.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A188 (cold-resistant)	12 h cold 4C (T2)
A188_T2_b3	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A188 (cold-resistant)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	12 h cold 4C (T2)	organism part	study sample	3	proteome_Z9263LQ_A3_3_Slot1-48_1_498	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_A3_3_Slot1-48_1_498.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A188 (cold-resistant)	12 h cold 4C (T2)
A188_R1_b1	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A188 (cold-resistant)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	recovery 1 h after 72 h cold (R1)	organism part	study sample	1	proteome_Z9263LQ_A4_1_Slot1-49_1_500	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_A4_1_Slot1-49_1_500.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A188 (cold-resistant)	recovery 1 h after 72 h cold (R1)
A188_R1_b2	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A188 (cold-resistant)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	recovery 1 h after 72 h cold (R1)	organism part	study sample	2	proteome_Z9263LQ_A4_2_Slot1-49_1_502	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_A4_2_Slot1-49_1_502.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A188 (cold-resistant)	recovery 1 h after 72 h cold (R1)
A188_R1_b3	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A188 (cold-resistant)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	recovery 1 h after 72 h cold (R1)	organism part	study sample	3	proteome_Z9263LQ_A4_3_Slot1-49_1_504	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_A4_3_Slot1-49_1_504.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A188 (cold-resistant)	recovery 1 h after 72 h cold (R1)
A122_T0_b1	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	0 h cold (T0)	organism part	study sample	1	proteome_Z9263LQ_B1_1_Slot1-50_1_517	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_B1_1_Slot1-50_1_517.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	0 h cold (T0)
A122_T0_b2	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	0 h cold (T0)	organism part	study sample	2	proteome_Z9263LQ_B1_2_Slot1-50_1_519	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_B1_2_Slot1-50_1_519.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	0 h cold (T0)
A122_T0_b3	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	0 h cold (T0)	organism part	study sample	3	proteome_Z9263LQ_B1_3_Slot1-50_1_521	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_B1_3_Slot1-50_1_521.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	0 h cold (T0)
A122_T1_b1	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	2 h cold 4C (T1)	organism part	study sample	1	proteome_Z9263LQ_B2_1_Slot1-51_1_523	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_B2_1_Slot1-51_1_523.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	2 h cold 4C (T1)
A122_T1_b2	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	2 h cold 4C (T1)	organism part	study sample	2	proteome_Z9263LQ_B2_2_Slot1-51_1_525	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_B2_2_Slot1-51_1_525.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	2 h cold 4C (T1)
A122_T1_b3	Capsicum annuum	leaf	plant cell	normal	seedling development stage	A122 (cold-sensitive)	greenhouse 16h 30C / 8h 20C, then Percival 4C 16h/8h 200 umol m-2 s-1 70% RH	2 h cold 4C (T1)	organism part	study sample	3	proteome_Z9263LQ_B2_3_Slot1-51_1_527	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	not applicable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	40 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Z9263LQ_B2_3_Slot1-51_1_527.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	A122 (cold-sensitive)	2 h cold 4C (T1)
