source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	characteristics[individual]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
HMEC-p10	Homo sapiens	breast epithelium	normal	mammary gland epithelial cell	cell	1	not available	female	donor_2	HMEC-p10-pNGF-030812-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1000447;NT=LTQ	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	1	AC=MS:1000133;NT=collision-induced dissociation	1.6 Da	0.8 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HMEC-p10-pNGF-030812-2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	normal
HMEC-p10	Homo sapiens	breast epithelium	normal	mammary gland epithelial cell	cell	1	not available	female	donor_2	HMEC-p10-pNGF-030812-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1000447;NT=LTQ	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	2	AC=MS:1000133;NT=collision-induced dissociation	1.6 Da	0.8 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HMEC-p10-pNGF-030812-3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	normal
HMEC-p10	Homo sapiens	breast epithelium	normal	mammary gland epithelial cell	cell	1	not available	female	donor_2	HMEC-p10-pNGF-030812-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1000447;NT=LTQ	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	3	AC=MS:1000133;NT=collision-induced dissociation	1.6 Da	0.8 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HMEC-p10-pNGF-030812-4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	normal
HMEC-p10	Homo sapiens	breast epithelium	normal	mammary gland epithelial cell	cell	1	not available	female	donor_2	HMEC-p10-pNGF-030812-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1000447;NT=LTQ	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	4	AC=MS:1000133;NT=collision-induced dissociation	1.6 Da	0.8 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HMEC-p10-pNGF-030812-5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	normal
HMEC-p10	Homo sapiens	breast epithelium	normal	mammary gland epithelial cell	cell	1	not available	female	donor_2	HMEC-p10-pNGF-030812-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1000447;NT=LTQ	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	5	AC=MS:1000133;NT=collision-induced dissociation	1.6 Da	0.8 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HMEC-p10-pNGF-030812-6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	normal
HMEC-p10	Homo sapiens	breast epithelium	normal	mammary gland epithelial cell	cell	1	not available	female	donor_2	HMEC-p10-pNGF-030812-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1000447;NT=LTQ	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	6	AC=MS:1000133;NT=collision-induced dissociation	1.6 Da	0.8 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HMEC-p10-pNGF-030812-7.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	normal
HMEC-p10	Homo sapiens	breast epithelium	normal	mammary gland epithelial cell	cell	1	not available	female	donor_2	HMEC-p10-pNGF-030812-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1000447;NT=LTQ	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	7	7	AC=MS:1000133;NT=collision-induced dissociation	1.6 Da	0.8 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HMEC-p10-pNGF-030812-8.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	normal
HMEC-p10	Homo sapiens	breast epithelium	normal	mammary gland epithelial cell	cell	1	not available	female	donor_2	HMEC-p10-tryp-030112-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1000447;NT=LTQ	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	8	AC=MS:1000133;NT=collision-induced dissociation	1.6 Da	0.8 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HMEC-p10-tryp-030112-1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	normal
HMEC-p10	Homo sapiens	breast epithelium	normal	mammary gland epithelial cell	cell	1	not available	female	donor_2	HMEC-p10-tryp-030112-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1000447;NT=LTQ	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	9	AC=MS:1000133;NT=collision-induced dissociation	1.6 Da	0.8 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HMEC-p10-tryp-030112-2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	normal
HMEC-p10	Homo sapiens	breast epithelium	normal	mammary gland epithelial cell	cell	1	not available	female	donor_2	HMEC-p10-tryp-030112-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1000447;NT=LTQ	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	10	AC=MS:1000133;NT=collision-induced dissociation	1.6 Da	0.8 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HMEC-p10-tryp-030112-3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	normal
HMEC-p10	Homo sapiens	breast epithelium	normal	mammary gland epithelial cell	cell	1	not available	female	donor_2	HMEC-p10-tryp-030112-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1000447;NT=LTQ	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	11	AC=MS:1000133;NT=collision-induced dissociation	1.6 Da	0.8 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HMEC-p10-tryp-030112-4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	normal
HMEC-p10	Homo sapiens	breast epithelium	normal	mammary gland epithelial cell	cell	1	not available	female	donor_2	HMEC-p10-tryp-030112-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1000447;NT=LTQ	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	12	AC=MS:1000133;NT=collision-induced dissociation	1.6 Da	0.8 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HMEC-p10-tryp-030112-5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	normal
HMEC-p10	Homo sapiens	breast epithelium	normal	mammary gland epithelial cell	cell	1	not available	female	donor_2	HMEC-p10-tryp-030112-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1000447;NT=LTQ	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	13	AC=MS:1000133;NT=collision-induced dissociation	1.6 Da	0.8 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HMEC-p10-tryp-030112-6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	normal
HMEC-p10	Homo sapiens	breast epithelium	normal	mammary gland epithelial cell	cell	1	not available	female	donor_2	HMEC-p10-tryp-030112-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1000447;NT=LTQ	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	14	AC=MS:1000133;NT=collision-induced dissociation	1.6 Da	0.8 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HMEC-p10-tryp-030112-7.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	normal
