source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[antibody]
PaKi_SINV_IgG_1	Pteropus alecto	cell culture	fibroblast	Alphavirus infectious disease	cell	not available	not available	not available	1	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	not applicable	not available	not available	not available	not available	1	1	PaKi_SINV_IgG_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	IgG control
PaKi_SINV_IgG_2	Pteropus alecto	cell culture	fibroblast	Alphavirus infectious disease	cell	not available	not available	not available	2	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	not applicable	not available	not available	not available	not available	1	1	PaKi_SINV_IgG_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	IgG control
PaKi_SINV_IgG_3	Pteropus alecto	cell culture	fibroblast	Alphavirus infectious disease	cell	not available	not available	not available	3	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	not applicable	not available	not available	not available	not available	1	1	PaKi_SINV_IgG_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	IgG control
PaKi_SINV_J2_1	Pteropus alecto	cell culture	fibroblast	Alphavirus infectious disease	cell	not available	not available	not available	1	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	not applicable	not available	not available	not available	not available	1	1	PaKi_SINV_J2_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	J2 dsRNA antibody
PaKi_SINV_J2_2	Pteropus alecto	cell culture	fibroblast	Alphavirus infectious disease	cell	not available	not available	not available	2	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	not applicable	not available	not available	not available	not available	1	1	PaKi_SINV_J2_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	J2 dsRNA antibody
PaKi_SINV_J2_3	Pteropus alecto	cell culture	fibroblast	Alphavirus infectious disease	cell	not available	not available	not available	3	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	not applicable	not available	not available	not available	not available	1	1	PaKi_SINV_J2_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	J2 dsRNA antibody
