source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
conjunctiva	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=conjunctiva;AC=UBERON:0001811	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	tissue	1	run_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	RabbitConjunctiva-Fraction1_Slot1-28_01_2999.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=conjunctiva;AC=UBERON:0001811
conjunctiva	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=conjunctiva;AC=UBERON:0001811	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	tissue	1	run_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	2	1	RabbitConjunctiva-Fraction2_Slot1-29_01_3000.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=conjunctiva;AC=UBERON:0001811
conjunctiva	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=conjunctiva;AC=UBERON:0001811	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	tissue	1	run_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	3	1	RabbitConjunctiva-Fraction3_Slot1-30_01_3001.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=conjunctiva;AC=UBERON:0001811
conjunctiva	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=conjunctiva;AC=UBERON:0001811	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	tissue	1	run_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	4	1	RabbitConjunctiva-Fraction4_Slot1-31_01_3002.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=conjunctiva;AC=UBERON:0001811
conjunctiva	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=conjunctiva;AC=UBERON:0001811	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	tissue	1	run_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	5	1	RabbitConjunctiva-Fraction5_Slot1-32_01_3003.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=conjunctiva;AC=UBERON:0001811
conjunctiva	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=conjunctiva;AC=UBERON:0001811	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	tissue	1	run_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	6	1	RabbitConjunctiva-Fraction6_Slot1-33_01_3004.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=conjunctiva;AC=UBERON:0001811
conjunctiva	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=conjunctiva;AC=UBERON:0001811	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	tissue	1	run_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	7	1	RabbitConjunctiva-Fraction7_Slot1-34_01_3005.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=conjunctiva;AC=UBERON:0001811
conjunctiva	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=conjunctiva;AC=UBERON:0001811	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	tissue	1	run_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	8	1	RabbitConjunctiva-Fraction8_Slot1-35_01_3006.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=conjunctiva;AC=UBERON:0001811
conjunctiva	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=conjunctiva;AC=UBERON:0001811	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	tissue	1	run_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	9	1	RabbitConjunctiva-Fraction9_Slot1-36_01_3007.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=conjunctiva;AC=UBERON:0001811
conjunctiva	NT=Oryctolagus cuniculus;AC=NCBITaxon:9986	NT=conjunctiva;AC=UBERON:0001811	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	tissue	1	run_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	10	1	RabbitConjunctiva-Fraction10_Slot1-37_01_3008.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=conjunctiva;AC=UBERON:0001811
