source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[treatment]	characteristics[passage number]	characteristics[culture medium]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
PC3_DMSO_1	Homo sapiens	prostate gland	prostate carcinoma	epithelial cell	cell	PC-3	CVCL_0035	PC-3	prostate gland	adult	62Y	male	not available	DMSO vehicle	not available	not available	1	3Dec21_Wholecell_DMSO1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	not available	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	3Dec21_Wholecell_DMSO1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	DMSO vehicle
PC3_DMSO_2	Homo sapiens	prostate gland	prostate carcinoma	epithelial cell	cell	PC-3	CVCL_0035	PC-3	prostate gland	adult	62Y	male	not available	DMSO vehicle	not available	not available	2	3Dec21_Wholecell_DMSO2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	not available	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	3Dec21_Wholecell_DMSO2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	DMSO vehicle
PC3_DMSO_3	Homo sapiens	prostate gland	prostate carcinoma	epithelial cell	cell	PC-3	CVCL_0035	PC-3	prostate gland	adult	62Y	male	not available	DMSO vehicle	not available	not available	3	3Dec21_Wholecell_DMSO3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	not available	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	3Dec21_Wholecell_DMSO3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	DMSO vehicle
PC3_KBU2046_1	Homo sapiens	prostate gland	prostate carcinoma	epithelial cell	cell	PC-3	CVCL_0035	PC-3	prostate gland	adult	62Y	male	not available	KBU2046 10 micromolar 72 h	not available	not available	1	3Dec21_Wholecell_KBU1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	not available	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	3Dec21_Wholecell_KBU1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	KBU2046 10 micromolar 72 h
PC3_KBU2046_2	Homo sapiens	prostate gland	prostate carcinoma	epithelial cell	cell	PC-3	CVCL_0035	PC-3	prostate gland	adult	62Y	male	not available	KBU2046 10 micromolar 72 h	not available	not available	2	3Dec21_Wholecell_KBU2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	not available	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	3Dec21_Wholecell_KBU2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	KBU2046 10 micromolar 72 h
PC3_KBU2046_3	Homo sapiens	prostate gland	prostate carcinoma	epithelial cell	cell	PC-3	CVCL_0035	PC-3	prostate gland	adult	62Y	male	not available	KBU2046 10 micromolar 72 h	not available	not available	3	6Dec21_Wholecell_KBU3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	not available	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	6Dec21_Wholecell_KBU3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	KBU2046 10 micromolar 72 h
