source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[biological replicate]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
PXD082794-sample-1	Saccharomyces cerevisiae	not applicable	not available	normal	whole organism	1	low confinement growth matrix	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin/P;AC=MS:1001313	label free sample	1	not available	not applicable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	10 ppm	0.02 Da	1	S1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	low confinement growth matrix
PXD082794-sample-2	Saccharomyces cerevisiae	not applicable	not available	normal	whole organism	2	low confinement growth matrix	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin/P;AC=MS:1001313	label free sample	1	not available	not applicable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	10 ppm	0.02 Da	1	S2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	low confinement growth matrix
PXD082794-sample-3	Saccharomyces cerevisiae	not applicable	not available	normal	whole organism	3	low confinement growth matrix	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin/P;AC=MS:1001313	label free sample	1	not available	not applicable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	10 ppm	0.02 Da	1	S3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	low confinement growth matrix
PXD082794-sample-4	Saccharomyces cerevisiae	not applicable	not available	normal	whole organism	1	high confinement growth matrix	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin/P;AC=MS:1001313	label free sample	1	not available	not applicable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	10 ppm	0.02 Da	1	S4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	high confinement growth matrix
PXD082794-sample-5	Saccharomyces cerevisiae	not applicable	not available	normal	whole organism	2	high confinement growth matrix	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin/P;AC=MS:1001313	label free sample	1	not available	not applicable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	10 ppm	0.02 Da	1	S5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	high confinement growth matrix
PXD082794-sample-6	Saccharomyces cerevisiae	not applicable	not available	normal	whole organism	3	high confinement growth matrix	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 240;AC=MS:1003094	NT=Trypsin/P;AC=MS:1001313	label free sample	1	not available	not applicable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	10 ppm	0.02 Da	1	S6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	high confinement growth matrix
