source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	assay name	technology type	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]
PXD066268-sample-1	Homo sapiens	colon	colon carcinoma	not available	HCT116	CVCL_0291	HCT 116	male	not available	1	run 1	proteomic profiling by mass spectrometry	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA alkenized;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	E250403_19_KL_PSMB4_pulldownID_Control_nonXL_rep1_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116
PXD066268-sample-1	Homo sapiens	colon	colon carcinoma	not available	HCT116	CVCL_0291	HCT 116	male	not available	1	run 2	proteomic profiling by mass spectrometry	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA alkenized;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	E250403_20_KL_PSMB4_pulldownID_Control_nonXL_rep1_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116
PXD066268-sample-2	Homo sapiens	colon	colon carcinoma	not available	HCT116	CVCL_0291	HCT 116	male	not available	2	run 3	proteomic profiling by mass spectrometry	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA alkenized;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	E250403_22_KL_PSMB4_pulldownID_Control_nonXL_rep2_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116
PXD066268-sample-2	Homo sapiens	colon	colon carcinoma	not available	HCT116	CVCL_0291	HCT 116	male	not available	2	run 4	proteomic profiling by mass spectrometry	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA alkenized;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	E250403_23_KL_PSMB4_pulldownID_Control_nonXL_rep2_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116
PXD066268-sample-3	Homo sapiens	colon	colon carcinoma	not available	HCT116	CVCL_0291	HCT 116	male	not available	3	run 5	proteomic profiling by mass spectrometry	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA alkenized;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	E250403_25_KL_PSMB4_pulldownID_Control_nonXL_rep3_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116
PXD066268-sample-3	Homo sapiens	colon	colon carcinoma	not available	HCT116	CVCL_0291	HCT 116	male	not available	3	run 6	proteomic profiling by mass spectrometry	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA alkenized;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	E250403_26_KL_PSMB4_pulldownID_Control_nonXL_rep3_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116
PXD066268-sample-4	Homo sapiens	colon	colon carcinoma	not available	HCT116 PSMB4 knock-in	CVCL_0291	HCT 116	male	not available	1	run 7	proteomic profiling by mass spectrometry	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA alkenized;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	E250403_28_KL_PSMB4_pulldownID_Beta4KI_nonXL_rep1_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116 PSMB4 knock-in
PXD066268-sample-4	Homo sapiens	colon	colon carcinoma	not available	HCT116 PSMB4 knock-in	CVCL_0291	HCT 116	male	not available	1	run 8	proteomic profiling by mass spectrometry	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA alkenized;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	E250403_29_KL_PSMB4_pulldownID_Beta4KI_nonXL_rep1_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116 PSMB4 knock-in
PXD066268-sample-5	Homo sapiens	colon	colon carcinoma	not available	HCT116 PSMB4 knock-in	CVCL_0291	HCT 116	male	not available	2	run 9	proteomic profiling by mass spectrometry	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA alkenized;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	1	E250403_31_KL_PSMB4_pulldownID_Beta4KI_nonXL_rep2_inj1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116 PSMB4 knock-in
PXD066268-sample-5	Homo sapiens	colon	colon carcinoma	not available	HCT116 PSMB4 knock-in	CVCL_0291	HCT 116	male	not available	2	run 10	proteomic profiling by mass spectrometry	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;TA=Q;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;PP=Any N-term;TA=C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;PP=Any N-term;TA=E;MT=Variable	NT=SDA;MM=82.04186;TA=K;MT=Variable	NT=SDA hydrolyzed;MM=100.05243;TA=K;MT=Variable	NT=SDA alkenized;MM=110.04801;TA=K;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Data-dependent acquisition;AC=PRIDE:0000627	1	2	E250403_32_KL_PSMB4_pulldownID_Beta4KI_nonXL_rep2_inj2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HCT116 PSMB4 knock-in
