source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
2014-05-09-pbp2a.d.zip	2014-05-09-pbp2a.d.zip	Synechocystis sp. pcc 6803	not available	not applicable	not available	Protein_stable_isotope_fingerprinting_P-SIF_Synechocystis_sp._PCC6803_Allochromatium_vinosum_DSM180_biomass_mixture	not available	not available	not available	not available	not available	not available	1	2014-05-09-pbp2a.d.zip	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=6520A Quadrupole Time-of-Flight LC/MS;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2014-05-09-pbp2a.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2014-05-09-pbp2b.d.zip	2014-05-09-pbp2b.d.zip	Synechocystis sp. pcc 6803	not available	not applicable	not available	Protein_stable_isotope_fingerprinting_P-SIF_Synechocystis_sp._PCC6803_Allochromatium_vinosum_DSM180_biomass_mixture	not available	not available	not available	not available	not available	not available	1	2014-05-09-pbp2b.d.zip	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=6520A Quadrupole Time-of-Flight LC/MS;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2014-05-09-pbp2b.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2014-05-09-pbp2c.d.zip	2014-05-09-pbp2c.d.zip	Synechocystis sp. pcc 6803	not available	not applicable	not available	Protein_stable_isotope_fingerprinting_P-SIF_Synechocystis_sp._PCC6803_Allochromatium_vinosum_DSM180_biomass_mixture	not available	not available	not available	not available	not available	not available	1	2014-05-09-pbp2c.d.zip	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=6520A Quadrupole Time-of-Flight LC/MS;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2014-05-09-pbp2c.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2014-05-09-pbp2d.d.zip	2014-05-09-pbp2d.d.zip	Synechocystis sp. pcc 6803	not available	not applicable	not available	Protein_stable_isotope_fingerprinting_P-SIF_Synechocystis_sp._PCC6803_Allochromatium_vinosum_DSM180_biomass_mixture	not available	not available	not available	not available	not available	not available	1	2014-05-09-pbp2d.d.zip	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=6520A Quadrupole Time-of-Flight LC/MS;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2014-05-09-pbp2d.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2014-05-12-pbp2.d.zip	2014-05-12-pbp2.d.zip	Synechocystis sp. pcc 6803	not available	not applicable	not available	Protein_stable_isotope_fingerprinting_P-SIF_Synechocystis_sp._PCC6803_Allochromatium_vinosum_DSM180_biomass_mixture	not available	not available	not available	not available	not available	not available	1	2014-05-12-pbp2.d.zip	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=6520A Quadrupole Time-of-Flight LC/MS;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2014-05-12-pbp2.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2014-05-14-a-pbp2a.d.zip	2014-05-14-a-pbp2a.d.zip	Synechocystis sp. pcc 6803	not available	not applicable	not available	Protein_stable_isotope_fingerprinting_P-SIF_Synechocystis_sp._PCC6803_Allochromatium_vinosum_DSM180_biomass_mixture	not available	not available	not available	not available	not available	not available	1	2014-05-14-a-pbp2a.d.zip	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=6520A Quadrupole Time-of-Flight LC/MS;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2014-05-14-a-pbp2a.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2014-05-14-a-pbp2b.d.zip	2014-05-14-a-pbp2b.d.zip	Synechocystis sp. pcc 6803	not available	not applicable	not available	Protein_stable_isotope_fingerprinting_P-SIF_Synechocystis_sp._PCC6803_Allochromatium_vinosum_DSM180_biomass_mixture	not available	not available	not available	not available	not available	not available	1	2014-05-14-a-pbp2b.d.zip	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=6520A Quadrupole Time-of-Flight LC/MS;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2014-05-14-a-pbp2b.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2014-05-14-b-pbp2.d.zip	2014-05-14-b-pbp2.d.zip	Synechocystis sp. pcc 6803	not available	not applicable	not available	Protein_stable_isotope_fingerprinting_P-SIF_Synechocystis_sp._PCC6803_Allochromatium_vinosum_DSM180_biomass_mixture	not available	not available	not available	not available	not available	not available	1	2014-05-14-b-pbp2.d.zip	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=6520A Quadrupole Time-of-Flight LC/MS;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2014-05-14-b-pbp2.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2014-05-16-pbp2a.d.zip	2014-05-16-pbp2a.d.zip	Synechocystis sp. pcc 6803	not available	not applicable	not available	Protein_stable_isotope_fingerprinting_P-SIF_Synechocystis_sp._PCC6803_Allochromatium_vinosum_DSM180_biomass_mixture	not available	not available	not available	not available	not available	not available	1	2014-05-16-pbp2a.d.zip	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=6520A Quadrupole Time-of-Flight LC/MS;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2014-05-16-pbp2a.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2014-05-16-pbp2b.d.zip	2014-05-16-pbp2b.d.zip	Synechocystis sp. pcc 6803	not available	not applicable	not available	Protein_stable_isotope_fingerprinting_P-SIF_Synechocystis_sp._PCC6803_Allochromatium_vinosum_DSM180_biomass_mixture	not available	not available	not available	not available	not available	not available	1	2014-05-16-pbp2b.d.zip	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=6520A Quadrupole Time-of-Flight LC/MS;AC=MS:1000677	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	2014-05-16-pbp2b.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
