source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[protein sample]	characteristics[deuteration]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[protein sample]	factor value[deuteration]
SIRT2_1000s	Homo sapiens	not applicable	not applicable	not applicable	protein	not applicable	not applicable	not applicable	not applicable	1	SIRT2	1000s	SIRT2_1000s	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	not available	NT=PepsinA;AC=MS:1001311	not available	not available	10 ppm	0.08 Da	1	1	SIRT2_1000s.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	SIRT2	1000s
SIRT2_100s	Homo sapiens	not applicable	not applicable	not applicable	protein	not applicable	not applicable	not applicable	not applicable	1	SIRT2	100s	SIRT2_100s	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	not available	NT=PepsinA;AC=MS:1001311	not available	not available	10 ppm	0.08 Da	1	1	SIRT2_100s.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	SIRT2	100s
SIRT2_10s	Homo sapiens	not applicable	not applicable	not applicable	protein	not applicable	not applicable	not applicable	not applicable	1	SIRT2	10s	SIRT2_10s	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	not available	NT=PepsinA;AC=MS:1001311	not available	not available	10 ppm	0.08 Da	1	1	SIRT2_10s.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	SIRT2	10s
SIRT2_equilibrium-deuterated	Homo sapiens	not applicable	not applicable	not applicable	protein	not applicable	not applicable	not applicable	not applicable	1	SIRT2	equilibrium-deuterated	SIRT2_ED	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	not available	NT=PepsinA;AC=MS:1001311	not available	not available	10 ppm	0.08 Da	1	1	SIRT2_ED.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	SIRT2	equilibrium-deuterated
SIRT2_non-deuterated	Homo sapiens	not applicable	not applicable	not applicable	protein	not applicable	not applicable	not applicable	not applicable	1	SIRT2	non-deuterated	SIRT2_NonDeu	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	not available	NT=PepsinA;AC=MS:1001311	not available	not available	10 ppm	0.08 Da	1	1	SIRT2_NonDeu.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	SIRT2	non-deuterated
SerRS-SIRT2 complex_1000s	Homo sapiens	not applicable	not applicable	not applicable	protein	not applicable	not applicable	not applicable	not applicable	1	SerRS-SIRT2 complex	1000s	SerRS-SIRT2_1000s	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	not available	NT=PepsinA;AC=MS:1001311	not available	not available	10 ppm	0.08 Da	1	1	SerRS-SIRT2_1000s.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	SerRS-SIRT2 complex	1000s
SerRS-SIRT2 complex_100s	Homo sapiens	not applicable	not applicable	not applicable	protein	not applicable	not applicable	not applicable	not applicable	1	SerRS-SIRT2 complex	100s	SerRS-SIRT2_100s	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	not available	NT=PepsinA;AC=MS:1001311	not available	not available	10 ppm	0.08 Da	1	1	SerRS-SIRT2_100s.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	SerRS-SIRT2 complex	100s
SerRS-SIRT2 complex_10s	Homo sapiens	not applicable	not applicable	not applicable	protein	not applicable	not applicable	not applicable	not applicable	1	SerRS-SIRT2 complex	10s	SerRS-SIRT2_10s	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	not available	NT=PepsinA;AC=MS:1001311	not available	not available	10 ppm	0.08 Da	1	1	SerRS-SIRT2_10s.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	SerRS-SIRT2 complex	10s
SerRS_1000s	Homo sapiens	not applicable	not applicable	not applicable	protein	not applicable	not applicable	not applicable	not applicable	1	SerRS	1000s	SerRS_1000s	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	not available	NT=PepsinA;AC=MS:1001311	not available	not available	10 ppm	0.08 Da	1	1	SerRS_1000s.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	SerRS	1000s
SerRS_100s	Homo sapiens	not applicable	not applicable	not applicable	protein	not applicable	not applicable	not applicable	not applicable	1	SerRS	100s	SerRS_100s	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	not available	NT=PepsinA;AC=MS:1001311	not available	not available	10 ppm	0.08 Da	1	1	SerRS_100s.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	SerRS	100s
