source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Sample1	Homo sapiens	Cell	not available	1	not available	A549	CL:0000039	Human lung adenocarcinoma cell line A549	not available	not available	not available	Sample1_proteomics	proteomic profiling by mass spectrometry	1	20210310_iTRAQ_noDE_1061_01.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=iTRAQ	1	not available	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample2	Homo sapiens	Cell	not available	2	not available	A549	CL:0000039	Human lung adenocarcinoma cell line A549	not available	not available	not available	Sample2_proteomics	proteomic profiling by mass spectrometry	1	20210310_iTRAQ_DE_1061_02.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=iTRAQ	2	not available	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample3	Homo sapiens	Cell	not available	3	not available	A549	CL:0000039	Human lung adenocarcinoma cell line A549	not available	not available	not available	Sample3_proteomics	proteomic profiling by mass spectrometry	1	sample_noDE_F2.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=iTRAQ	3	not available	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample4	Homo sapiens	Cell	not available	4	not available	A549	CL:0000039	Human lung adenocarcinoma cell line A549	not available	not available	not available	Sample4_proteomics	proteomic profiling by mass spectrometry	1	sample_noDE_F4.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=iTRAQ	4	not available	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample5	Homo sapiens	Cell	not available	5	not available	A549	CL:0000039	Human lung adenocarcinoma cell line A549	not available	not available	not available	Sample5_proteomics	proteomic profiling by mass spectrometry	1	sample_noDE_F5.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=iTRAQ	5	not available	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample6	Homo sapiens	Cell	not available	6	not available	A549	CL:0000039	Human lung adenocarcinoma cell line A549	not available	not available	not available	Sample6_proteomics	proteomic profiling by mass spectrometry	1	sample_noDE_F7.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=iTRAQ	6	not available	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample7	Homo sapiens	Cell	not available	7	not available	A549	CL:0000039	Human lung adenocarcinoma cell line A549	not available	not available	not available	Sample7_proteomics	proteomic profiling by mass spectrometry	1	20210310_iTRAQ_DE_1061_03.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=iTRAQ	7	not available	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample8	Homo sapiens	Cell	not available	8	not available	A549	CL:0000039	Human lung adenocarcinoma cell line A549	not available	not available	not available	Sample8_proteomics	proteomic profiling by mass spectrometry	1	sample_noDE_F3.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=iTRAQ	8	not available	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample9	Homo sapiens	Cell	not available	9	not available	A549	CL:0000039	Human lung adenocarcinoma cell line A549	not available	not available	not available	Sample9_proteomics	proteomic profiling by mass spectrometry	1	20210310_iTRAQ_noDE_1061_02.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=iTRAQ	9	not available	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
Sample10	Homo sapiens	Cell	not available	10	not available	A549	CL:0000039	Human lung adenocarcinoma cell line A549	not available	not available	not available	Sample10_proteomics	proteomic profiling by mass spectrometry	1	sample_noDE_F8.wiff	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=tripletof 5600;AC=MS:1000932	NT=trypsin;AC=MS:1001251	NT=iTRAQ	10	not available	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
