source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
CAC20220223lut_Ag_lib2	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220223lut_Ag_lib2_27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	27	1	CAC20220223lut_Ag_lib2_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	30	1	CAC20220225lut_Ag_lib4_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib1	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib1_23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	23	1	CAC20220219lut_Ag_lib1_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220225lut_Ag_lib4	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220225lut_Ag_lib4_25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	25	1	CAC20220225lut_Ag_lib4_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib5	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib5_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	13	1	CAC20220219lut_Ag_lib5_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib1	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib1_25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	25	1	CAC20220219lut_Ag_lib1_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220223lut_Ag_lib2	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220223lut_Ag_lib2_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	30	1	CAC20220223lut_Ag_lib2_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib5	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib5_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	30	1	CAC20220219lut_Ag_lib5_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220219lut_Ag_lib5	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220219lut_Ag_lib5_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	8	1	CAC20220219lut_Ag_lib5_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
CAC20220223lut_Ag_lib2	mus musculus	not available	normal	pooled	not available	not available	not available	CAC20220223lut_Ag_lib2_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	17	1	CAC20220223lut_Ag_lib2_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
