source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[time point]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[time point]
wt1_t1	Enterococcus faecalis	Cell suspension culture	not available	1	pH 7.5 steady state	kohc_K140510_002_SW_wt1_t1_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	kohc_K140510_002_SW_wt1_t1_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	pH 7.5 steady state
wt1_t7	Enterococcus faecalis	Cell suspension culture	not available	1	240 min	kohc_K140510_003_SW_wt1_t7_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	kohc_K140510_003_SW_wt1_t7_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	240 min
wt1_t2	Enterococcus faecalis	Cell suspension culture	not available	1	30 min pH 7.0	kohc_K140510_004_SW_wt1_t2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	kohc_K140510_004_SW_wt1_t2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	30 min pH 7.0
wt1_t6	Enterococcus faecalis	Cell suspension culture	not available	1	180 min	kohc_K140510_005_SW_wt1_t6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	kohc_K140510_005_SW_wt1_t6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	180 min
wt1_t3	Enterococcus faecalis	Cell suspension culture	not available	1	80 min	kohc_K140510_006_SW_wt1_t3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	kohc_K140510_006_SW_wt1_t3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	80 min
wt1_t5	Enterococcus faecalis	Cell suspension culture	not available	1	120 min	kohc_K140510_008_SW_wt1_t5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	kohc_K140510_008_SW_wt1_t5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	120 min
wt1_t4	Enterococcus faecalis	Cell suspension culture	not available	1	100 min	kohc_K140510_009_SW_wt1_t4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	kohc_K140510_009_SW_wt1_t4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	100 min
wt1_t8	Enterococcus faecalis	Cell suspension culture	not available	1	21 h	kohc_K140510_010_SW_wt1_t8	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	kohc_K140510_010_SW_wt1_t8.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	21 h
wt2_t5	Enterococcus faecalis	Cell suspension culture	not available	2	120 min	kohc_K140515_001_SW_wt2_t5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	kohc_K140515_001_SW_wt2_t5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	120 min
wt2_t2	Enterococcus faecalis	Cell suspension culture	not available	2	30 min pH 7.0	kohc_K140515_002_SW_wt2_t2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	kohc_K140515_002_SW_wt2_t2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	30 min pH 7.0
