source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
a7_5702	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a7_5702	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a7_5702.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
a8_2202	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a8_2202	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a8_2202.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
a9_5706	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a9_5706	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a9_5706.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
b10_2502	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	b10_2502	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	b10_2502.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
b11_5107	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	b11_5107	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	b11_5107.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
b12_7406	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	b12_7406	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	b12_7406.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
b1_6813	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	b1_6813	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	b1_6813.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
b1_ii_8401	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	b1_ii_8401	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	b1_ii_8401.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
b2_6208	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	b2_6208	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	b2_6208.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
b3_4508	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	b3_4508	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	b3_4508.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
