source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[environmental medium]	characteristics[project name]	characteristics[geographic location]	characteristics[microbiome source]	characteristics[mock community]	characteristics[mock community composition]	characteristics[local environmental context]	characteristics[sample storage]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[expected organism list]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[local environmental context]
InVitro-Calibration_-_Klebsiella_oxytoca_-_Culture	InVitro-Calibration_-_Klebsiella_oxytoca_-_Culture	Klebsiella oxytoca	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	Klebsiella oxytoca	Klebsiella oxytoca	-80C	HF2_EE_15400_1_E14_08022022_2p5ul	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Klebsiella oxytoca	1	HF2_EE_15400_1_E14_08022022_2p5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Klebsiella oxytoca
InVitro-Calibration_-_Klebsiella_oxytoca_-_Culture	InVitro-Calibration_-_Klebsiella_oxytoca_-_Culture	Klebsiella oxytoca	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	Klebsiella oxytoca	Klebsiella oxytoca	-80C	HF2_EE_15400_1_E16_03022022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Klebsiella oxytoca	2	HF2_EE_15400_1_E16_03022022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Klebsiella oxytoca
InVitro-Calibration_-_Escherichia_coli_-_Culture	InVitro-Calibration_-_Escherichia_coli_-_Culture	Escherichia coli	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	Escherichia coli	Escherichia coli	-80C	HF2_EE_15400_1A14_03022022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Escherichia coli	1	HF2_EE_15400_1A14_03022022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Escherichia coli
InVitro-Calibration_-_Escherichia_coli_-_Culture	InVitro-Calibration_-_Escherichia_coli_-_Culture	Escherichia coli	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	Escherichia coli	Escherichia coli	-80C	HF2_EE_15400_1A15_27012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Escherichia coli	2	HF2_EE_15400_1A15_27012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Escherichia coli
InVitro-Calibration_-_Micrococcus_luteus_-_Culture	InVitro-Calibration_-_Micrococcus_luteus_-_Culture	Micrococcus luteus	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	Micrococcus luteus	Micrococcus luteus	-80C	HF2_EE_15400_1A16_31012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Micrococcus luteus	1	HF2_EE_15400_1A16_31012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Micrococcus luteus
InVitro-Calibration_-_Micrococcus_luteus_-_Culture	InVitro-Calibration_-_Micrococcus_luteus_-_Culture	Micrococcus luteus	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	Micrococcus luteus	Micrococcus luteus	-80C	HF2_EE_15400_1B14_06022022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Micrococcus luteus	2	HF2_EE_15400_1B14_06022022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Micrococcus luteus
InVitro-Calibration_-_Bacillus_subtilis_-_Culture	InVitro-Calibration_-_Bacillus_subtilis_-_Culture	Bacillus subtilis	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	Bacillus subtilis	Bacillus subtilis	-80C	HF2_EE_15400_1C14_27012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Bacillus subtilis	1	HF2_EE_15400_1C14_27012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Bacillus subtilis
InVitro-Calibration_-_Bacillus_subtilis_-_Culture	InVitro-Calibration_-_Bacillus_subtilis_-_Culture	Bacillus subtilis	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	Bacillus subtilis	Bacillus subtilis	-80C	HF2_EE_15400_1C16_27012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Bacillus subtilis	2	HF2_EE_15400_1C16_27012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Bacillus subtilis
InVitro-Calibration_-_Staphylococcus_aureus_-_Culture	InVitro-Calibration_-_Staphylococcus_aureus_-_Culture	Staphylococcus aureus	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	Staphylococcus aureus	Staphylococcus aureus	-80C	HF2_EE_15400_1D14_27012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Staphylococcus aureus	1	HF2_EE_15400_1D14_27012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Staphylococcus aureus
InVitro-Calibration_-_Staphylococcus_aureus_-_Culture	InVitro-Calibration_-_Staphylococcus_aureus_-_Culture	Staphylococcus aureus	not applicable	1	not available	InVitro-Calibration	Israel	gut microbiome	not applicable	Staphylococcus aureus	Staphylococcus aureus	-80C	HF2_EE_15400_1D15_31012022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Staphylococcus aureus	2	HF2_EE_15400_1D15_31012022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Staphylococcus aureus
