source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]
HeLa sample 1	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	cervical adenocarcinoma	female	31Y	cell	1	run 1	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Data-independent acquisition	400	1200	25	SWATH-MS	not available	not available	muelleto_Y151227_002_SW.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa sample 2	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	cervical adenocarcinoma	female	31Y	cell	2	run 2	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Data-independent acquisition	400	1200	25	SWATH-MS	not available	not available	muelleto_Y151227_008_SW.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa sample 3	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	cervical adenocarcinoma	female	31Y	cell	3	run 3	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Data-independent acquisition	400	1200	25	SWATH-MS	not available	not available	muelleto_Y151227_009_SW.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa sample 4	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	cervical adenocarcinoma	female	31Y	cell	4	run 4	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Data-independent acquisition	400	1200	25	SWATH-MS	not available	not available	muelleto_Y151227_015_SW.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa sample 5	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	cervical adenocarcinoma	female	31Y	cell	5	run 5	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Data-independent acquisition	400	1200	25	SWATH-MS	not available	not available	muelleto_Y151227_016_SW.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa sample 6	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	cervical adenocarcinoma	female	31Y	cell	6	run 6	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Data-independent acquisition	400	1200	25	SWATH-MS	not available	not available	muelleto_Y151227_017_SW.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa sample 7	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	cervical adenocarcinoma	female	31Y	cell	7	run 7	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Data-independent acquisition	400	1200	25	SWATH-MS	not available	not available	muelleto_Y151227_019_SW.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa sample 8	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	cervical adenocarcinoma	female	31Y	cell	8	run 8	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Data-independent acquisition	400	1200	25	SWATH-MS	not available	not available	muelleto_Y151227_024_SW.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa sample 9	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	cervical adenocarcinoma	female	31Y	cell	9	run 9	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Data-independent acquisition	400	1200	25	SWATH-MS	not available	not available	muelleto_Y151227_027_SW.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
HeLa sample 10	Homo sapiens	uterine cervix	epithelial cell of cervix	HeLa	CVCL_0030	HeLa	cervical adenocarcinoma	female	31Y	cell	10	run 10	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	Data-independent acquisition	400	1200	25	SWATH-MS	not available	not available	muelleto_Y151227_028_SW.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HeLa
