source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[enrichment process]	characteristics[enrichment process]	characteristics[biological replicate]	characteristics[developmental stage]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[reduction agent]	comment[alkylkation agent]	comment[fractionation method]	comment[fraction identifier]	comment[fractionation method]	comment[instrument]	comment[dissociation method]	comment[proteomics data acquisition method]	comment[MS1 scan range]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[number of missed cleavages]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	characteristic[mouse line]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Sharma_01_Global	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	fluorescence-activated cell sorting	1	not available	global_wt_1	proteomic profiling by mass spectrometry	Sharma_01_Global.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	NT=Data-independent acquisition;AC=PRIDE:0000450	380m/z-980m/z	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Trypsin/P;AC=MS:1001313	1	6 ppm	5 ppm	C57BL/6J	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Sharma_04_Global	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	fluorescence-activated cell sorting	2	not available	global_wt_2	proteomic profiling by mass spectrometry	Sharma_04_Global.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000591	NT=Data-independent acquisition;AC=PRIDE:0000450	380m/z-980m/z	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Trypsin/P;AC=MS:1001313	1	6 ppm	5 ppm	C57BL/6J	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Sharma_05_Global	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	fluorescence-activated cell sorting	3	not available	global_wt_3	proteomic profiling by mass spectrometry	Sharma_05_Global.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000592	NT=Data-independent acquisition;AC=PRIDE:0000450	380m/z-980m/z	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Trypsin/P;AC=MS:1001313	1	6 ppm	5 ppm	C57BL/6J	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Sharma_07_Global	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	fluorescence-activated cell sorting	4	not available	global_wt_4	proteomic profiling by mass spectrometry	Sharma_07_Global.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000593	NT=Data-independent acquisition;AC=PRIDE:0000450	380m/z-980m/z	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Trypsin/P;AC=MS:1001313	1	6 ppm	5 ppm	C57BL/6J	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Sharma_08_Global	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	fluorescence-activated cell sorting	5	not available	global_wt_5	proteomic profiling by mass spectrometry	Sharma_08_Global.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000594	NT=Data-independent acquisition;AC=PRIDE:0000450	380m/z-980m/z	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Trypsin/P;AC=MS:1001313	1	6 ppm	5 ppm	C57BL/6J	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Sharma_09_Global	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	fluorescence-activated cell sorting	1	not available	global_ko_1	proteomic profiling by mass spectrometry	Sharma_09_Global.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000595	NT=Data-independent acquisition;AC=PRIDE:0000450	380m/z-980m/z	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Trypsin/P;AC=MS:1001313	1	6 ppm	5 ppm	C57BL/6J	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Sharma_11_Global	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	fluorescence-activated cell sorting	2	not available	global_ko_2	proteomic profiling by mass spectrometry	Sharma_11_Global.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000596	NT=Data-independent acquisition;AC=PRIDE:0000450	380m/z-980m/z	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Trypsin/P;AC=MS:1001313	1	6 ppm	5 ppm	C57BL/6J	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Sharma_12_Global	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	fluorescence-activated cell sorting	3	not available	global_ko_3	proteomic profiling by mass spectrometry	Sharma_12_Global.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000597	NT=Data-independent acquisition;AC=PRIDE:0000450	380m/z-980m/z	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Trypsin/P;AC=MS:1001313	1	6 ppm	5 ppm	C57BL/6J	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Sharma_13_Global	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	fluorescence-activated cell sorting	4	not available	global_ko_4	proteomic profiling by mass spectrometry	Sharma_13_Global.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000598	NT=Data-independent acquisition;AC=PRIDE:0000450	380m/z-980m/z	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Trypsin/P;AC=MS:1001313	1	6 ppm	5 ppm	C57BL/6J	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
Sharma_14_Global	mus musculus	spleen	leukemia	leukemia stem cell	fluorescence-activated cell sorting	fluorescence-activated cell sorting	5	not available	global_ko_5	proteomic profiling by mass spectrometry	Sharma_14_Global.raw	1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000599	NT=Data-independent acquisition;AC=PRIDE:0000450	380m/z-980m/z	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Carbamidomethyl;AC=UNIMOD:4	NT=Trypsin/P;AC=MS:1001313	1	6 ppm	5 ppm	C57BL/6J	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
