source name	characteristics[sample name]	characteristics[organism]	characteristics[environmental medium]	characteristics[microbiome source]	characteristics[geographic location]	characteristics[project name]	characteristics[host organism]	characteristics[host body site]	characteristics[organism part]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[synthetic peptide]	characteristics[depletion]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[fraction identifier]	comment[technical replicate]	comment[sample storage temperature]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
VIGR-051	VIGR-051	human gut metagenome	feces	gut microbiome	Australia	VIGR-birth-cohort	Homo sapiens	feces	feces	1	not pooled	study sample	not synthetic	no depletion	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	29 NCE	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	2-Chloroacetaldehyde	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20190306_Pat_VIGR_VIGR-051.raw	1	1	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
VIGR-051	VIGR-051	human gut metagenome	feces	gut microbiome	Australia	VIGR-birth-cohort	Homo sapiens	feces	feces	1	not pooled	study sample	not synthetic	no depletion	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	29 NCE	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	2-Chloroacetaldehyde	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	201905_Pat_VIGR_VIGR-051.raw	1	2	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
VIGR-056	VIGR-056	human gut metagenome	feces	gut microbiome	Australia	VIGR-birth-cohort	Homo sapiens	feces	feces	1	not pooled	study sample	not synthetic	no depletion	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	29 NCE	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	2-Chloroacetaldehyde	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20190306_Pat_VIGR_VIGR-056.raw	1	1	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
VIGR-056	VIGR-056	human gut metagenome	feces	gut microbiome	Australia	VIGR-birth-cohort	Homo sapiens	feces	feces	1	not pooled	study sample	not synthetic	no depletion	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	29 NCE	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	2-Chloroacetaldehyde	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	201905_Pat_VIGR_VIGR-056.raw	1	2	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
VIGR-059	VIGR-059	human gut metagenome	feces	gut microbiome	Australia	VIGR-birth-cohort	Homo sapiens	feces	feces	1	not pooled	study sample	not synthetic	no depletion	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	29 NCE	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	2-Chloroacetaldehyde	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20190306_Pat_VIGR_VIGR-059.raw	1	1	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
VIGR-059	VIGR-059	human gut metagenome	feces	gut microbiome	Australia	VIGR-birth-cohort	Homo sapiens	feces	feces	1	not pooled	study sample	not synthetic	no depletion	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	29 NCE	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	2-Chloroacetaldehyde	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	201905_Pat_VIGR_VIGR-059.raw	1	2	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
VIGR-065	VIGR-065	human gut metagenome	feces	gut microbiome	Australia	VIGR-birth-cohort	Homo sapiens	feces	feces	1	not pooled	study sample	not synthetic	no depletion	run 7	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	29 NCE	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	2-Chloroacetaldehyde	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20190306_Pat_VIGR_VIGR-065.raw	1	1	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
VIGR-065	VIGR-065	human gut metagenome	feces	gut microbiome	Australia	VIGR-birth-cohort	Homo sapiens	feces	feces	1	not pooled	study sample	not synthetic	no depletion	run 8	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	29 NCE	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	2-Chloroacetaldehyde	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	201905_Pat_VIGR_VIGR-065.raw	1	2	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
VIGR-066	VIGR-066	human gut metagenome	feces	gut microbiome	Australia	VIGR-birth-cohort	Homo sapiens	feces	feces	1	not pooled	study sample	not synthetic	no depletion	run 9	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	29 NCE	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	2-Chloroacetaldehyde	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20190306_Pat_VIGR_VIGR-066.raw	1	1	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
VIGR-066	VIGR-066	human gut metagenome	feces	gut microbiome	Australia	VIGR-birth-cohort	Homo sapiens	feces	feces	1	not pooled	study sample	not synthetic	no depletion	run 10	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=MS:1000422	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	29 NCE	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	2-Chloroacetaldehyde	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	201905_Pat_VIGR_VIGR-066.raw	1	2	-80 °C	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
