source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
140905_tricho_1a.mzid_140905_tricho_1a	140905_tricho_1a.mzid_140905_tricho_1a	Trichodesmium erythraeum ims101	Photosynthetic cell	not applicable	Disease free	Trichodesmium_LC-MSMS_iron_and_phosphorous_co-limitation_in_the_ocean	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	140905_tricho_1a.mzid_140905_tricho_1a	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	140905_tricho_1a.mzid_140905_tricho_1a.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
140905_tricho_1a	140905_tricho_1a	Trichodesmium erythraeum ims101	Photosynthetic cell	not applicable	Disease free	Trichodesmium_LC-MSMS_iron_and_phosphorous_co-limitation_in_the_ocean	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	140905_tricho_1a	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	140905_tricho_1a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
140907_tricho_10.mzid_140907_tricho_10	140907_tricho_10.mzid_140907_tricho_10	Trichodesmium erythraeum ims101	Photosynthetic cell	not applicable	Disease free	Trichodesmium_LC-MSMS_iron_and_phosphorous_co-limitation_in_the_ocean	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	140907_tricho_10.mzid_140907_tricho_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	140907_tricho_10.mzid_140907_tricho_10.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
140907_tricho_10.mzid_140907_tricho_10.pride	140907_tricho_10.mzid_140907_tricho_10.pride	Trichodesmium erythraeum ims101	Photosynthetic cell	not applicable	Disease free	Trichodesmium_LC-MSMS_iron_and_phosphorous_co-limitation_in_the_ocean	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	140907_tricho_10.mzid_140907_tricho_10.pride	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	140907_tricho_10.mzid_140907_tricho_10.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
140907_tricho_10	140907_tricho_10	Trichodesmium erythraeum ims101	Photosynthetic cell	not applicable	Disease free	Trichodesmium_LC-MSMS_iron_and_phosphorous_co-limitation_in_the_ocean	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	140907_tricho_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	140907_tricho_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
140907_tricho_11.mzid_140907_tricho_11	140907_tricho_11.mzid_140907_tricho_11	Trichodesmium erythraeum ims101	Photosynthetic cell	not applicable	Disease free	Trichodesmium_LC-MSMS_iron_and_phosphorous_co-limitation_in_the_ocean	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	140907_tricho_11.mzid_140907_tricho_11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	140907_tricho_11.mzid_140907_tricho_11.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
140907_tricho_11	140907_tricho_11	Trichodesmium erythraeum ims101	Photosynthetic cell	not applicable	Disease free	Trichodesmium_LC-MSMS_iron_and_phosphorous_co-limitation_in_the_ocean	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	140907_tricho_11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	140907_tricho_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
140907_tricho_12.mzid_140907_tricho_12	140907_tricho_12.mzid_140907_tricho_12	Trichodesmium erythraeum ims101	Photosynthetic cell	not applicable	Disease free	Trichodesmium_LC-MSMS_iron_and_phosphorous_co-limitation_in_the_ocean	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	140907_tricho_12.mzid_140907_tricho_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	140907_tricho_12.mzid_140907_tricho_12.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
140907_tricho_12	140907_tricho_12	Trichodesmium erythraeum ims101	Photosynthetic cell	not applicable	Disease free	Trichodesmium_LC-MSMS_iron_and_phosphorous_co-limitation_in_the_ocean	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	140907_tricho_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	140907_tricho_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
140907_tricho_2.mzid_140907_tricho_2	140907_tricho_2.mzid_140907_tricho_2	Trichodesmium erythraeum ims101	Photosynthetic cell	not applicable	Disease free	Trichodesmium_LC-MSMS_iron_and_phosphorous_co-limitation_in_the_ocean	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	140907_tricho_2.mzid_140907_tricho_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	140907_tricho_2.mzid_140907_tricho_2.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Photosynthetic cell
