source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[enzyme]
20220722_Fusion_LS_Luyendyk_Fib_F13TG2_10A	Homo sapiens	not applicable	normal	not available	not available	1	20220722_Fusion_LS_Luyendyk_Fib_F13TG2_10A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220722_Fusion_LS_Luyendyk_Fib_F13TG2_10A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FXIIIa+TG2
20220722_Fusion_LS_Luyendyk_Fib_F13TG2_10B	Homo sapiens	not applicable	normal	not available	not available	2	20220722_Fusion_LS_Luyendyk_Fib_F13TG2_10B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220722_Fusion_LS_Luyendyk_Fib_F13TG2_10B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FXIIIa+TG2
20220722_Fusion_LS_Luyendyk_Fib_F13TG2_10C	Homo sapiens	not applicable	normal	not available	not available	3	20220722_Fusion_LS_Luyendyk_Fib_F13TG2_10C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220722_Fusion_LS_Luyendyk_Fib_F13TG2_10C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FXIIIa+TG2
20220722_Fusion_LS_Luyendyk_Fib_F13TG2_30A	Homo sapiens	not applicable	normal	not available	not available	4	20220722_Fusion_LS_Luyendyk_Fib_F13TG2_30A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220722_Fusion_LS_Luyendyk_Fib_F13TG2_30A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FXIIIa+TG2
20220722_Fusion_LS_Luyendyk_Fib_F13TG2_30B	Homo sapiens	not applicable	normal	not available	not available	5	20220722_Fusion_LS_Luyendyk_Fib_F13TG2_30B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220722_Fusion_LS_Luyendyk_Fib_F13TG2_30B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FXIIIa+TG2
20220722_Fusion_LS_Luyendyk_Fib_F13TG2_30C	Homo sapiens	not applicable	normal	not available	not available	6	20220722_Fusion_LS_Luyendyk_Fib_F13TG2_30C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220722_Fusion_LS_Luyendyk_Fib_F13TG2_30C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FXIIIa+TG2
20220722_Fusion_LS_Luyendyk_Fib_F13_10A	Homo sapiens	not applicable	normal	not available	not available	7	20220722_Fusion_LS_Luyendyk_Fib_F13_10A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220722_Fusion_LS_Luyendyk_Fib_F13_10A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FXIIIa
20220722_Fusion_LS_Luyendyk_Fib_F13_10B	Homo sapiens	not applicable	normal	not available	not available	8	20220722_Fusion_LS_Luyendyk_Fib_F13_10B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220722_Fusion_LS_Luyendyk_Fib_F13_10B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FXIIIa
20220722_Fusion_LS_Luyendyk_Fib_F13_10C	Homo sapiens	not applicable	normal	not available	not available	9	20220722_Fusion_LS_Luyendyk_Fib_F13_10C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220722_Fusion_LS_Luyendyk_Fib_F13_10C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FXIIIa
20220722_Fusion_LS_Luyendyk_Fib_F13_30A	Homo sapiens	not applicable	normal	not available	not available	10	20220722_Fusion_LS_Luyendyk_Fib_F13_30A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002739	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20220722_Fusion_LS_Luyendyk_Fib_F13_30A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	FXIIIa
