source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	characteristics[strain/breed]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[separation]	comment[file uri]	comment[number of missed cleavages]	factor value[substrate]
Sample 1	Abortiporus biennis	culture supernatant	not applicable	not applicable	not applicable	1	LGAM 436	xylose	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	4.5 ppm	20 ppm	1	1	E26682_2p_50uPAC12_trap10_PRC-5379_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=High-performance liquid chromatography;AC=PRIDE:0000565	https://ftp.ebi.ac.uk/pride-archive/2022/11/PXD032691/E26682_2p_50uPAC12_trap10_PRC-5379_1.raw	2	xylose
Sample 2	Abortiporus biennis	culture supernatant	not applicable	not applicable	not applicable	2	LGAM 436	corn stover	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	4.5 ppm	20 ppm	1	1	E26684_2p_50uPAC12_trap10_PRC-5379_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=High-performance liquid chromatography;AC=PRIDE:0000565	https://ftp.ebi.ac.uk/pride-archive/2022/11/PXD032691/E26684_2p_50uPAC12_trap10_PRC-5379_2.raw	2	corn stover
Sample 3	Abortiporus biennis	culture supernatant	not applicable	not applicable	not applicable	3	LGAM 436	corn stover	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	4.5 ppm	20 ppm	1	1	E26686_2p_50uPAC12_trap10_PRC-5379_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=High-performance liquid chromatography;AC=PRIDE:0000565	https://ftp.ebi.ac.uk/pride-archive/2022/11/PXD032691/E26686_2p_50uPAC12_trap10_PRC-5379_3.raw	2	corn stover
Sample 4	Abortiporus biennis	culture supernatant	not applicable	not applicable	not applicable	4	LGAM 436	xylose	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	4.5 ppm	20 ppm	1	1	E26688_2p_50uPAC12_trap10_PRC-5379_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=High-performance liquid chromatography;AC=PRIDE:0000565	https://ftp.ebi.ac.uk/pride-archive/2022/11/PXD032691/E26688_2p_50uPAC12_trap10_PRC-5379_4.raw	2	xylose
Sample 5	Abortiporus biennis	culture supernatant	not applicable	not applicable	not applicable	5	LGAM 436	corn stover	run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	4.5 ppm	20 ppm	1	1	E26690_2p_50uPAC12_trap10_PRC-5379_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=High-performance liquid chromatography;AC=PRIDE:0000565	https://ftp.ebi.ac.uk/pride-archive/2022/11/PXD032691/E26690_2p_50uPAC12_trap10_PRC-5379_5.raw	2	corn stover
